"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"CANCER","z",1.220785,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,"Studied",30,3,NA,"firstword","firstword",NA,NA,"1",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","firstword","Unprimed",NA
"PHONE","slash",0.55516,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,"Studied",29,3,NA,"Unrelated","DRUGS",NA,NA,"8",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"EARLY","slash",0.863855,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,"Studied",10,3,NA,"Unrelated","PURPOSE",NA,NA,"15",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"PIECE","slash",0.685325,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"JEANS","z",1.057385,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"TREE","",NA,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"TOWN","",NA,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"DRESS","",NA,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"BUSH","",NA,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"Unprimed",NA
"TIGHT","",NA,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,"Studied",37,1,NA,NA,NA,NA,"LOOSE",NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"TOES","",NA,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,"Studied",24,2,NA,"Related","VIOLET","PURPLE",NA,"11",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Related","Unprimed",NA
"TEETH","",NA,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,"Studied",27,3,"Identical",NA,NA,NA,NA,NA,NA,"Old","Old",1,0,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Identical"
"ORANGE","",NA,"TK",1,"2020-09-26_14h40.02.619","DelayedExp","2020.1.3",60,"Studied",25,4,NA,"Unrelated","UNDER",NA,NA,"6","21","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
