DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondition,PrimePosition,PrimeBlock
BORED,8002.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SPIT,8001.59,Studied,2,3,NA,5,Identical,POTATO,NA,NA,unrelated,,
CLOWN,8006.115,Studied,8,3,NA,10,Unrelated,UNCLE,NA,NA,unrelated,,
TOWN,8002.245,Studied,14,4,NA,"6,33",Identical,WRITE,NA,NA,unrelated,,
KNIGHT,7990.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
NIGHT,8001.06,NA,NA,NA,NA,"1,27",firstword,firstword,NA,NA,unrelated,,
PRIDE,7999.83,Studied,18,1,NA,"6,26",Unrelated,BRIDE,NA,NA,unrelated,,
AMD,7999.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
MAD,8000.23,Studied,41,1,NA,3,Identical,COPY,NA,NA,unrelated,,
SHIP,8000.905,Studied,26,2,NA,"6,34",Identical,STORE,NA,NA,unrelated,,
VOLCANO,8001.6,Studied,24,2,Identical,5,Identical,VOLCANO,NA,NA,identical,5,2
,8000.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
TEST,7999.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7998.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SHERIFF,8000,Studied,25,3,NA,2,Identical,DRUGS,NA,NA,unrelated,,
CHILD,8000.29,Studied,13,3,NA,42,Unrelated,LEMON,NA,ADULT,related,30,3
YOUNG,8001.315,Studied,16,3,Identical,NA,NA,NA,NA,NA,,,
HEAD,8000.8,Studied,2,4,NA,2,Identical,SKIN,NA,NA,unrelated,,
SPOT,7999.965,NA,NA,NA,NA,13,Identical,TOOTH,NA,NA,unrelated,,
,7999.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
TOUCH,8000.37,Studied,3,4,Identical,NA,NA,NA,NA,NA,,,
SHEEP,7999.585,Studied,13,4,NA,7,Unrelated,SMOOTH,NA,NA,unrelated,,
SHIRT,7999.91,Studied,12,4,NA,"41,5",Related,ACORN,TREE,NA,unrelated,,
DRESS,7999.82,Studied,14,2,NA,7,Identical,ROOF,NA,NA,unrelated,,
CENT,7999.705,NA,NA,NA,NA,9,Identical,BABY,NA,NA,unrelated,,
,8000.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8001.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
CLASS,7999.38,Studied,5,4,NA,3,Related,YARN,KNIT,NA,unrelated,,
TREE,8000.11,Studied,41,2,NA,NA,NA,NA,NA,ACORN,,,
,8000.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BE,8000.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
BENEATH,8000.025,NA,NA,NA,Related,NA,NA,NA,NA,NA,,,
DIME,7999.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
LOUD,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
PEACE,7999.985,NA,NA,NA,NA,15,Identical,NINE,NA,NA,unrelated,,
PLACE,8000.425,NA,NA,NA,NA,29,Identical,BOSS,NA,NA,unrelated,,
,7990.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
THANKS,7998.76,Studied,1,3,NA,"7,39",Identical,YOUNG,NA,NA,unrelated,,
STAMP,8000.105,Studied,3,3,NA,12,Unrelated,CLOCK,NA,NA,unrelated,,
STICKER,7999.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7998.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
CHURCH,8001.03,Studied,23,2,NA,24,Identical,SING,NA,NA,unrelated,,
SING,7998.835,Studied,22,2,Identical,25,Identical,FIND,NA,NA,identical,24,2
PRIEST,7997.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SKIRT,7999.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7998.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
DOWN,8000.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
SCHEDULE,7999.51,NA,NA,NA,NA,8,Related,TOMB,GRAVE,NA,unrelated,,
BUSY,7999.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
TYPE,7998.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7998.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7998.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7999.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,8000.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
,7998.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
VOTE,7999.355,Studied,5,3,Identical,14,Identical,VOTE,NA,NA,identical,14,3
,6649.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
