Target,Item Number,Prime,FSG,LgSUBTLEX,BSG
LENGTH,137,WIDTH,0.464,2.555,0.285
NEPHEW,138,NIECE,0.658,2.928,0.476
NUMBER,139,DIGIT,0.72,4.09,0
SONG,140,HYMN,0.479,3.679,0
RIGHT,141,LEFT,0.939,5.311,0.405
SELLER,142,BUYER,0.572,2.053,0.513
SHEETS,143,LINEN,0.481,2.804,0.028
SMOOTH,144,ROUGH,0.352,2.97,0.416
STAIRS,145,STEPS,0.526,3.084,0.146
STOP,146,HALT,0.906,4.557,0.05
STREAM,147,BROOK,0.462,2.614,0.077
TWELVE,148,DOZEN,0.484,2.983,0.048
WEIGHT,149,SCALE,0.53,3.267,0.014
WEST,150,EAST,0.886,3.49,0.78
BIRD,151,PARROT,0.628,3.365,0.056
ORANGE,152,PEEL,0.571,3.057,0
CRACKER,153,SALTINE,0.836,2.47,0.106
BEACH,154,SAND,0.717,3.461,0.394
DREAM,155,IMAGINE,0.336,3.832,0
CHAIR,156,TABLE,0.756,3.4,0.314
STORY,157,TALE,0.589,4.052,0.108
BOMB,158,ATOM,0.586,3.437,0
EGGS,159,BACON,0.517,3.295,0.176
FISH,160,BAIT,0.629,3.629,0
MONEY,161,CASH,0.814,4.514,0.212
WORK,162,CHORE,0.408,4.61,0
CLAM,163,CHOWDER,0.755,2.303,0.042
PICKLE,164,DILL,0.869,2.373,0.144
NICKEL,165,DIME,0.527,2.635,0.469
HORN,166,HONK,0.62,3.032,0.136
YELLOW,167,MELLOW,0.329,3.237,0.027
LAWYER,168,JUDGE,0.291,3.608,
SILK,169,SATIN,0.348,2.699,0.213
SPICE,170,HERB,0.282,2.433,0.028
PENCIL,171,ERASER,0.507,2.702,0.049
PAPER,172,MARGIN,0.322,3.722,0
PRIDE,172,DIGNITY,0.372,3.15,0
NINE,174,EIGHT,0.634,3.537,0
COPY,175,CARBON,0.373,3.426,0.03
ITCH,176,SCRATCH,0.359,2.33,0.848
WATER,177,BOAT,0.362,4.06,0
HELLO,178,GREET,0.318,4.475,0
SMART,179,CLEVER,0.615,3.691,0
FINISH,180,DONE,0.676,3.703,0.081
MINIMUM,181,MAXIMUM,0.454,2.619,0.403
BANK,182,TELLER,0.814,3.637,0.028
SNEEZE,183,ALLERGY,0.407,2.179,0.029
UNCLEAR,184,VAGUE,0.297,1.881,0.048
SURE,185,CERTAIN,0.353,4.749,0.023
PLAN,186,SCHEME,0.392,3.871,0.061
MONKEY,187,GORILLA,0.353,3.233,0
ENGLISH,188,GRAMMAR,0.528,3.577,0.029
