"DelayedWord","DelayedRT","Studied","StudyPosition","Block","PrimeCondition","Day1OutputPosition","PrimedRelated"
"CHEESE",8000.61,"Studied",26,1,NA,"4",NA
"STREAM",5400.4,"Studied",35,1,NA,"8",NA
"PICKLE",4933.79,"Studied",34,1,NA,"7",NA
"CANDLE",5483.84,"Studied",18,3,NA,"25",NA
"",7999.98,NA,NA,NA,NA,NA,NA
"",8000.65,NA,NA,NA,NA,NA,NA
"MONARCH",5949.935,NA,NA,NA,NA,NA,NA
"",7999.785,NA,NA,NA,NA,NA,NA
"SNAKE",1532.39,"Studied",1,2,NA,"6",NA
"BRIDE",2265.46,"Studied",3,2,NA,"7",NA
"TRAIN",2387.285,"Studied",24,2,"Identical","15",NA
"DUSK",3317.265,"Studied",27,2,"Identical","14",NA
"FIRE",1249.035,NA,NA,NA,NA,NA,NA
"SMOKE",4666.46,"Studied",4,2,NA,"10",NA
"CAMP",1565.51,"Studied",5,2,"Identical","11",NA
"GEEK",3417.38,"Studied",14,2,NA,"24",NA
"",8000.41,NA,NA,NA,NA,NA,NA
"SHOES",4000.955,"Studied",22,2,NA,"26",NA
"BLACK",2900,"Studied",21,2,NA,"28",NA
"FIVE",2316.27,"Studied",20,2,NA,"27",NA
"",8000.62,NA,NA,NA,NA,NA,NA
"HOTEL",2583.54,"Studied",32,2,NA,"16",NA
"POND",1483.305,NA,NA,NA,NA,NA,NA
"FROG",2534,"Studied",36,2,NA,"21",NA
"",7999.855,NA,NA,NA,NA,NA,NA
"",8001.835,NA,NA,NA,NA,NA,NA
"KISS",6001.13,"Studied",9,2,NA,"8",NA
"",8001.74,NA,NA,NA,NA,NA,NA
"DEVIL",8001.575,"Studied",17,2,NA,"13",NA
"GHOST",1533.04,"Studied",16,2,NA,"12",NA
"",8000.355,NA,NA,NA,NA,NA,NA
"",8000.96,NA,NA,NA,NA,NA,NA
"SOAP",3185.285,"Studied",20,3,NA,"26",NA
"",8001.78,NA,NA,NA,NA,NA,NA
"GLASSES",8000.695,NA,NA,NA,NA,NA,NA
"",8000.195,NA,NA,NA,NA,NA,NA
"",8001.62,NA,NA,NA,NA,NA,NA
"",8001.055,NA,NA,NA,NA,NA,NA
"",8001.14,NA,NA,NA,NA,NA,NA
"",7999.1,NA,NA,NA,NA,NA,NA
"",8001.675,NA,NA,NA,NA,NA,NA
"",8002.225,NA,NA,NA,NA,NA,NA
"",8000.945,NA,NA,NA,NA,NA,NA
"",8001,NA,NA,NA,NA,NA,NA
"",5337.42,NA,NA,NA,NA,NA,NA
"",350.6800001,NA,NA,NA,NA,NA,NA
"",7999.39,NA,NA,NA,NA,NA,NA
"SMILE",1234.82,"Studied",6,2,NA,"18",NA
"D",9195.595,NA,NA,NA,NA,NA,NA
"LAND",2649.4,"Studied",2,2,NA,"23",NA
"",8001.47,NA,NA,NA,NA,NA,NA
"",1001.355,NA,NA,NA,NA,NA,NA
"",8001.335,NA,NA,NA,NA,NA,NA
"",1500.58,NA,NA,NA,NA,NA,NA
"",399.22,NA,NA,NA,NA,NA,NA
"",332.465,NA,NA,NA,NA,NA,NA
"",333.29,NA,NA,NA,NA,NA,NA
"",8000.8,NA,NA,NA,NA,NA,NA
"",8001.685,NA,NA,NA,NA,NA,NA
"COLONEL",6050.31,NA,NA,NA,NA,NA,NA
"",367.5850001,NA,NA,NA,NA,NA,NA
"",315.7250001,NA,NA,NA,NA,NA,NA
"",33.09000004,NA,NA,NA,NA,NA,NA
"",332.3899999,NA,NA,NA,NA,NA,NA
"",300.4900001,NA,NA,NA,NA,NA,NA
"",166.8949998,NA,NA,NA,NA,NA,NA
"",284.43,NA,NA,NA,NA,NA,NA
"",316.6350001,NA,NA,NA,NA,NA,NA
"",384.0600001,NA,NA,NA,NA,NA,NA
"",483.4050001,NA,NA,NA,NA,NA,NA
"",8000.635,NA,NA,NA,NA,NA,NA
"",7989.545,NA,NA,NA,NA,NA,NA
"",1483.015,NA,NA,NA,NA,NA,NA
"",917.4800001,NA,NA,NA,NA,NA,NA
"",415.9949999,NA,NA,NA,NA,NA,NA
"",1800.345,NA,NA,NA,NA,NA,NA
"",8000.46,NA,NA,NA,NA,NA,NA
"CORAL",2633.02,"Studied",7,4,NA,"10",NA
"TIME",2548.405,NA,NA,NA,NA,"17",NA
"",8000.54,NA,NA,NA,NA,NA,NA
"",8002.62,NA,NA,NA,NA,NA,NA
"",8002.03,NA,NA,NA,NA,NA,NA
"",3933.36,NA,NA,NA,NA,NA,NA
"",350.2200001,NA,NA,NA,NA,NA,NA
"",315.9749999,NA,NA,NA,NA,NA,NA
"",100.2750001,NA,NA,NA,NA,NA,NA
"",583.7300001,NA,NA,NA,NA,NA,NA
"",333.4299999,NA,NA,NA,NA,NA,NA
"",7999.535,NA,NA,NA,NA,NA,NA
"",8001.165,NA,NA,NA,NA,NA,NA
"",6133,NA,NA,NA,NA,NA,NA
"",267.8049998,NA,NA,NA,NA,NA,NA
"",283.48,NA,NA,NA,NA,NA,NA
"",265.6050001,NA,NA,NA,NA,NA,NA
"",332.955,NA,NA,NA,NA,NA,NA
"",350.1899999,NA,NA,NA,NA,NA,NA
"",299.845,NA,NA,NA,NA,NA,NA
"",265.11,NA,NA,NA,NA,NA,NA
"",633.69,NA,NA,NA,NA,NA,NA
"",316.08,NA,NA,NA,NA,NA,NA
