"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"LETTUCE","z",2.179,"AB",2,"2020-07-08_14h00.21.550","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"GUILT","z",1.307,"AB",2,"2020-07-08_14h00.21.551","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"VOTE","z",1.16,"AB",2,"2020-07-08_14h00.21.552","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SAME","z",0.93,"AB",2,"2020-07-08_14h00.21.553","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"REPEAT","z",1.026,"AB",2,"2020-07-08_14h00.21.554","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"THREAD","z",1.167,"AB",2,"2020-07-08_14h00.21.555","DelayedExp","2020.1.3",60,"Studied",21,2,NA,NA,"6",NA
"PEPPER","slash",1.059,"AB",2,"2020-07-08_14h00.21.556","DelayedExp","2020.1.3",60,"Studied",10,3,NA,NA,"17",NA
"ALLOW","z",1.058,"AB",2,"2020-07-08_14h00.21.557","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"CANDLE","slash",1.298,"AB",2,"2020-07-08_14h00.21.558","DelayedExp","2020.1.3",60,"Studied",4,2,"Identical",NA,"15",NA
"SHARK","z",1.552,"AB",2,"2020-07-08_14h00.21.559","DelayedExp","2020.1.3",60,"Studied",5,3,NA,NA,"14",NA
"THIEF","slash",1.268,"AB",2,"2020-07-08_14h00.21.560","DelayedExp","2020.1.3",60,"Studied",38,1,"Related","CROOK",NA,NA
"CASTLE","z",0.819,"AB",2,"2020-07-08_14h00.21.561","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"FINGER","z",1.518,"AB",2,"2020-07-08_14h00.21.562","DelayedExp","2020.1.3",60,"Studied",31,3,"Related","HAND",NA,NA
"GLORY","z",0.731,"AB",2,"2020-07-08_14h00.21.563","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CANCER","slash",1.103,"AB",2,"2020-07-08_14h00.21.564","DelayedExp","2020.1.3",60,"Studied",17,3,NA,NA,"27",NA
"THIN","z",1.059,"AB",2,"2020-07-08_14h00.21.565","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SOAP","slash",0.81,"AB",2,"2020-07-08_14h00.21.566","DelayedExp","2020.1.3",60,"Studied",8,2,NA,NA,"32",NA
"SING","slash",0.641,"AB",2,"2020-07-08_14h00.21.567","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"STOP","slash",0.769,"AB",2,"2020-07-08_14h00.21.568","DelayedExp","2020.1.3",60,"Studied",3,4,"Identical",NA,NA,NA
"LARGE","z",1.265,"AB",2,"2020-07-08_14h00.21.569","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"LAUGH","slash",0.755,"AB",2,"2020-07-08_14h00.21.570","DelayedExp","2020.1.3",60,"Studied",27,4,NA,NA,NA,"32"
"FRONT","z",1.067,"AB",2,"2020-07-08_14h00.21.571","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"BREAD","slash",1.778,"AB",2,"2020-07-08_14h00.21.572","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"STRESS","z",0.805,"AB",2,"2020-07-08_14h00.21.573","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SWORD","slash",1.326,"AB",2,"2020-07-08_14h00.21.574","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"PROBLEM","z",1.067,"AB",2,"2020-07-08_14h00.21.575","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"ARGUE","z",0.685,"AB",2,"2020-07-08_14h00.21.576","DelayedExp","2020.1.3",60,"Studied",26,2,NA,NA,"12",NA
"FIND","slash",0.925,"AB",2,"2020-07-08_14h00.21.577","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
