"DelayedWord","DelayedRT","Studied","StudyPosition","Block","PrimeCondition","Day1OutputPosition","PrimedRelated"
"GUITAR",5299.25,"Studied",17,2,NA,"20",NA
"FLOWER",1551.015,"Studied",18,2,NA,"27",NA
"ORANGE",1534.575,"Studied",19,2,NA,"26",NA
"NEPHEW",2284.945,"Studied",21,2,NA,"22",NA
"TWELVE",2869.965,"Studied",13,2,NA,"21",NA
"NUMBER",1167.125,"Studied",24,2,NA,"25",NA
"LAUGHTER",1434.53,NA,NA,NA,NA,"23",NA
"LENGTH",2401,"Studied",42,2,NA,"28",NA
"DUSK",2249.14,"Studied",5,3,NA,"10",NA
"LAKE",773.3700001,"Studied",6,3,NA,"11",NA
"CAMP",1050.78,"Studied",8,3,"Identical","34",NA
"GHOST",1917.505,"Studied",34,3,"Identical",NA,NA
"SHADOW",1816.915,NA,NA,NA,NA,NA,NA
"BELOW",1367.055,"Studied",40,3,NA,NA,NA
"MOON",2583.795,NA,NA,NA,NA,NA,NA
"PICTURE",1283.45,"Studied",7,3,NA,"9",NA
"GEEK",1885.525,"Studied",27,3,NA,"3",NA
"SNAKE",966.76,"Studied",2,3,NA,"5",NA
"BLACK",2068.805,"Studied",20,3,NA,"4",NA
"DIRTY",1050.915,"Studied",1,3,NA,"1",NA
"DIRT",817.8600001,"Studied",18,3,NA,"2",NA
"JUMPED",3600.065,NA,NA,NA,NA,NA,NA
"FROG",1100.43,"Studied",4,3,NA,"8",NA
"HOOP",1902.385,"Studied",22,3,NA,"20",NA
"MINOR",933.4099999,"Studied",25,3,NA,"18,21",NA
"",7989.13,NA,NA,NA,NA,NA,NA
"PRESENT",2649.935,"Studied",9,3,NA,"19",NA
"HOTEL",1583.91,"Studied",10,3,NA,"37",NA
"NOISE",7503.35,"Studied",16,3,NA,"25",NA
"POUND",4502.975,"Studied",11,3,"Identical","24",NA
"KISS",1415.94,"Studied",12,3,"Identical","28",NA
"SWEET",1151.44,"Studied",13,3,NA,"27",NA
"BRIDE",1101.075,"Studied",21,3,"Identical","32",NA
"",7989.33,NA,NA,NA,NA,NA,NA
"WINTER",1033.605,"Studied",2,4,"Identical","22",NA
"BRANCH",1317.325,"Studied",4,4,"Identical","26",NA
"INHALE",1084.525,"Studied",6,4,NA,"23",NA
"TENNIS",1283.39,"Studied",9,4,NA,"19",NA
"CANDLE",1332.925,"Studied",10,4,NA,"20",NA
"SPIDER",1702.295,"Studied",8,4,"Identical","28",NA
"CHAIN",1150.205,"Studied",5,4,NA,"27",NA
"WORK",5132.94,"Studied",1,2,NA,"1",NA
"CHAIR",833.7399999,"Studied",16,2,NA,"5",NA
"STAIR",1250.48,"Studied",36,1,NA,NA,NA
"GROSS",3250.78,"Studied",37,2,NA,"2",NA
"STOP",1017.825,"Studied",36,2,NA,"3",NA
"HAMMER",2300.8,"Studied",8,2,NA,"4",NA
"BOMB",882.26,"Studied",5,2,NA,"7",NA
"FRANCE",1376.64,"Studied",3,2,NA,"10",NA
"STAB",1149.94,NA,NA,NA,NA,"9",NA
"CLAUS",1583.875,"Studied",7,2,NA,"11",NA
"CLAMS",5904.13,NA,NA,NA,NA,NA,NA
"FISH",2651.96,"Studied",39,2,NA,"15",NA
"STREAM",1149.77,"Studied",4,2,NA,"12",NA
"BIRD",900.48,"Studied",15,2,"Identical","14",NA
"THROW",6621.875,"Studied",5,1,NA,"12",NA
"WRENCH",3267.9,NA,NA,NA,NA,NA,NA
"CHILDREN",6168.505,NA,NA,NA,NA,NA,NA
"TH",8004.605,NA,NA,NA,NA,NA,NA
"THIEVES",1349.015,NA,NA,NA,NA,"22",NA
"CAMP",5086.23,"Studied",8,3,"Identical","34",NA
"",8003.66,NA,NA,NA,NA,NA,NA
"MILK",2717.34,"Studied",12,4,"Identical","1",NA
"MIDDLE",3592.295,"Studied",13,4,NA,"6",NA
"BUCKET",1079.965,"Studied",14,4,NA,"7",NA
"WAITER",1333.94,"Studied",11,4,NA,"2",NA
"MENU",883.675,NA,NA,NA,NA,NA,NA
"READ",800.0449999,"Studied",15,4,NA,"3",NA
"MOTHER",1400.72,"Studied",32,4,NA,"12",NA
"BALLET",1852.84,"Studied",16,4,NA,"16",NA
"SHOE",733.6350001,"Studied",40,4,NA,"15",NA
"PAIN",1168.69,"Studied",35,4,NA,"32",NA
"SEEK",1301.685,"Studied",17,4,NA,"17",NA
"STATE",7835.64,NA,NA,NA,NA,NA,NA
"TEST",3100.285,"Studied",1,4,NA,"29",NA
"",7988.715,NA,NA,NA,NA,NA,NA
"",8004.28,NA,NA,NA,NA,NA,NA
"BUTTER",1176.49,"Studied",33,4,NA,"4",NA
"SOAP",2421.86,"Studied",41,4,NA,"5",NA
"",8005.31,NA,NA,NA,NA,NA,NA
"",8002.07,NA,NA,NA,NA,NA,NA
"",8004.525,NA,NA,NA,NA,NA,NA
"",8002.27,NA,NA,NA,NA,NA,NA
"",8003.69,NA,NA,NA,NA,NA,NA
"NUMBER",1933.495,"Studied",24,2,NA,"25",NA
"MONEY",1600.295,"Studied",12,2,NA,"33",NA
"DOLLAR",1066.425,"Studied",2,1,"Identical","11",NA
"PLANT",971.8150001,"Studied",6,1,NA,"10,17",NA
"LEMON",1105.945,"Studied",15,1,NA,"16",NA
"GRASS",1039.99,"Studied",1,1,NA,"9",NA
"MONEY",3567.665,"Studied",12,2,NA,"33",NA
"SELLER",1868.29,"Studied",22,2,"Identical","34",NA
"",7996.35,NA,NA,NA,NA,NA,NA
"",2468.05,NA,NA,NA,NA,NA,NA
"",2150.91,NA,NA,NA,NA,NA,NA
"",750.6350001,NA,NA,NA,NA,NA,NA
"",2016.89,NA,NA,NA,NA,NA,NA
"",1749.895,NA,NA,NA,NA,NA,NA
"",722.3899999,NA,NA,NA,NA,NA,NA
"",432.38,NA,NA,NA,NA,NA,NA
