"DelayedWord","DelayedRT","Studied","StudyPosition","Block","PrimeCondition","Day1OutputPosition","PrimedRelated"
"RIGHT",8000.555,"Studied",42,1,NA,"5,38",NA
"LEFT",7999.375,NA,NA,NA,"Related",NA,NA
"WEST",7999.15,"Studied",7,1,NA,"4",NA
"NEPHEW",8000.675,"Studied",33,1,NA,"39",NA
"UNVLE",7999.02,NA,NA,NA,NA,NA,NA
"THEIF",7999.915,NA,NA,NA,NA,NA,NA
"KILL",8000.785,"Studied",21,2,NA,"9",NA
"PAIN",8000.445,"Studied",1,3,NA,"27",NA
"SWEET",7998.68,"Studied",28,2,"Identical","16",NA
"ALIVE",7998.795,"Studied",20,3,NA,"19,38",NA
"LOVING",7999.205,"Studied",7,3,NA,"13",NA
"MOTHER",8000.17,"Studied",30,3,NA,"12",NA
"HORSE",8000.82,"Studied",38,4,NA,"4",NA
"FENCE",8000.47,"Studied",19,4,"Identical","22",NA
"BOMB",8000.35,"Studied",32,1,NA,"15",NA
"",8000.485,NA,NA,NA,NA,NA,NA
"POUND",8000.27,"Studied",26,2,NA,"22",NA
"FLOUR",7999.535,NA,NA,NA,NA,NA,NA
"",7999.37,NA,NA,NA,NA,NA,NA
"HEAR",8001.29,NA,NA,NA,NA,NA,NA
"BELOW",8000.54,"Studied",31,2,NA,"11",NA
"QUEEN",7999.895,"Studied",33,4,"Identical","5",NA
"LEMON",8002.485,"Studied",5,4,"Identical","37",NA
"BREAD",7993.31,NA,NA,NA,NA,NA,NA
"FEAR",7999.99,NA,NA,NA,NA,NA,NA
"",8000.045,NA,NA,NA,NA,NA,NA
"",8000.655,NA,NA,NA,NA,NA,NA
"STORY",7990.34,"Studied",11,1,NA,"3,12",NA
"KISS",8000.74,"Studied",34,2,"Identical","17",NA
"BRIDE",8000.145,"Studied",18,2,NA,"19",NA
"SMILE",7999.87,"Studied",16,2,NA,"18",NA
"SORRY",8001.73,"Studied",10,2,"Identical",NA,NA
"BALLET",8000.485,"Studied",33,3,NA,"11",NA
"",7999.89,NA,NA,NA,NA,NA,NA
"",8003.7,NA,NA,NA,NA,NA,NA
"LAUGH",8001.71,"Studied",17,1,"Identical","16",NA
"LAWYER",7998.91,"Studied",16,1,NA,"23",NA
"",8001.485,NA,NA,NA,NA,NA,NA
"DEAF",8000.965,"Studied",1,2,NA,NA,NA
"HUNGER",7999.705,"Studied",24,3,"Identical","28",NA
"THIRST",7999.715,"Studied",13,3,NA,"29",NA
"FRANCE",8002.495,"Studied",36,1,NA,"11",NA
"EMPIRE",8000.35,"Studied",35,1,NA,"10",NA
"KING",8000.205,NA,NA,NA,NA,NA,NA
"STAGE",7997.555,NA,NA,NA,NA,NA,NA
"",7998.165,NA,NA,NA,NA,NA,NA
"NOISE",8001.06,"Studied",30,2,NA,NA,NA
"",7999.905,NA,NA,NA,NA,NA,NA
"TIGER",7998.96,"Studied",3,4,NA,"6",NA
"OFFICE",8000.125,"Studied",42,4,NA,"1",NA
"GIRL",8000.33,NA,NA,NA,NA,NA,NA
"",7998.71,NA,NA,NA,NA,NA,NA
"",7998.845,NA,NA,NA,NA,NA,NA
"CANDLE",8001.215,"Studied",2,3,"Identical",NA,NA
"LEARN",7999.52,"Studied",27,2,NA,NA,NA
"SKILL",8000.95,NA,NA,NA,NA,NA,NA
"SKIP",7999.335,NA,NA,NA,NA,NA,NA
"SLEEP",8000.055,NA,NA,NA,NA,NA,NA
"MOUNTAIN",7998.895,NA,NA,NA,NA,NA,NA
"RIVER",7999.655,NA,NA,NA,NA,NA,NA
"",8001.61,NA,NA,NA,NA,NA,NA
"EAR",8001.395,NA,NA,NA,NA,NA,NA
"UNCLE",8001.61,"Studied",6,4,NA,"24",NA
"NEPHEW",7999.805,"Studied",33,1,NA,"39",NA
"",7999.83,NA,NA,NA,NA,NA,NA
"",7999.485,NA,NA,NA,NA,NA,NA
"F",7998.89,NA,NA,NA,NA,NA,NA
"FOLLOW",7999.345,NA,NA,NA,NA,NA,NA
"WILD",8003.61,"Studied",14,3,NA,NA,NA
"PURPLE",6633.19,"Studied",16,3,"Identical","30",NA
