"DelayedWord","DelayedRT","Studied","StudyPosition","Block","PrimeCondition","Day1OutputPosition","PrimedRelated"
"CANDLE",2996.94,"Studied",8,1,NA,"3",NA
"DOLLAR",6801.575,"Studied",28,2,NA,"7",NA
"FENCE",1101.03,"Studied",3,2,NA,"2,4",NA
"ANIMAL",2038.36,"Studied",1,2,NA,"1",NA
"WEST",2451.795,"Studied",7,3,NA,"2",NA
"FRANCE",1067.685,"Studied",21,3,NA,"4",NA
"SHOVEL",3034.87,NA,NA,NA,NA,NA,NA
"",8000.32,NA,NA,NA,NA,NA,NA
"LAYER",2232.985,"Studied",1,4,NA,"1",NA
"",8009.78,NA,NA,NA,NA,NA,NA
"FLY",786.575,NA,NA,NA,NA,NA,NA
"ZOO",2086.465,NA,NA,NA,NA,NA,NA
"FIELD",3135.125,NA,NA,NA,NA,NA,NA
"LAUGH",3837.025,"Studied",2,3,"Identical","5",NA
"MINOR",2835.235,"Studied",2,4,NA,"3",NA
"GHOST",983.835,"Studied",3,4,NA,"2",NA
"JUMP",4019.32,"Studied",7,4,NA,"7",NA
"SHOES",4219.93,"Studied",4,4,NA,"4",NA
"DUSK",1369.155,"Studied",5,4,NA,"6",NA
"",8005.815,NA,NA,NA,NA,NA,NA
"POUND",1733.655,"Studied",6,4,NA,"9",NA
"DIRTY",1432.98,"Studied",8,4,NA,"8",NA
"NORTH",3926.395,NA,NA,NA,NA,NA,NA
"",588098.405,NA,NA,NA,NA,NA,NA
