"DelayedWord","DelayedRT","Studied","StudyPosition","Block","PrimeCondition","Day1OutputPosition","PrimedRelated"
"MINOR",8004,"Studied",20,1,NA,"27",NA
"DELAY",7989,NA,NA,NA,NA,"4,33",NA
"LAUNDRY",8005,NA,NA,NA,NA,NA,NA
"UNCLE",7988,"Studied",42,3,"Related",NA,"AUNT"
"FORK",7988,NA,NA,NA,"Related","22",NA
"NAVY",7988,"Studied",33,2,"Related",NA,"ARMY"
"NAVY",7988,"Studied",33,2,"Related",NA,"ARMY"
"FLOWER",7988,"Studied",20,4,"Related","38","TULIP"
"MINE",8004,NA,NA,NA,NA,NA,NA
"EASY",7989,NA,NA,NA,NA,NA,NA
"LOVE",7989,NA,NA,NA,NA,NA,NA
"MILK",7988,"Studied",29,2,NA,"16",NA
"FISH",8004,"Studied",8,4,"Identical",NA,NA
"LAYER",7988,"Studied",21,1,NA,"3",NA
"LINE",8004,NA,NA,NA,NA,NA,NA
"FRIEND",8004,NA,NA,NA,NA,"14,17",NA
"AUNT",7989,NA,NA,NA,"Related","35",NA
"CLOSE",8005,"Studied",3,3,NA,"10",NA
"VER",7370,NA,NA,NA,NA,NA,NA
"SWEET",7989,"Studied",39,1,"Identical",NA,NA
"NAVY",7988,"Studied",33,2,"Related",NA,"ARMY"
"NAVY",7988,"Studied",33,2,"Related",NA,"ARMY"
"MILK",8004,"Studied",29,2,NA,"16",NA
"LI",8005,NA,NA,NA,NA,NA,NA
"GRASS",7989,"Studied",27,3,"Related","30,39","WEED"
"HOOP",7989,"Studied",1,1,NA,"2,10",NA
"JUMP",7987,"Studied",34,1,NA,"9",NA
"PORCH",7988,NA,NA,NA,NA,NA,NA
"NONE",8004,NA,NA,NA,NA,NA,NA
"SWITCH",8004,NA,NA,NA,NA,NA,NA
"DRESS",8005,NA,NA,NA,NA,NA,NA
"LAUGH",7989,"Studied",27,4,NA,NA,NA
"LENGTH",7988,"Studied",1,4,"Related",NA,"WIDTH"
"TEETH",8005,"Studied",40,3,"Identical","34,38",NA
"STRENGTH",7988,NA,NA,NA,NA,NA,NA
"EYES",7989,NA,NA,NA,NA,NA,NA
"SNACK",8001,NA,NA,NA,NA,NA,NA
"SKY",7989,NA,NA,NA,NA,NA,NA
"NEVERR",8005,NA,NA,NA,NA,NA,NA
"FUN",7990,NA,NA,NA,NA,NA,NA
"JUST",8004,NA,NA,NA,NA,NA,NA
"FAIL",7988,NA,NA,NA,NA,NA,NA
"LAUNDRY",7989,NA,NA,NA,NA,NA,NA
"FRESH",8003,NA,NA,NA,NA,NA,NA
"CHEESE",7988,"Studied",21,4,"Identical",NA,NA
"GLANCE",7990,NA,NA,NA,NA,NA,NA
"CLOSE",3646,"Studied",3,3,NA,"10",NA
"MIX",4160,NA,NA,NA,NA,NA,NA
"JANE",7102,NA,NA,NA,NA,NA,NA
"ENABLE",7622,NA,NA,NA,NA,NA,NA
"PURPLE",8005,"Studied",18,2,NA,"3",NA
"NAIL",8006,NA,NA,NA,NA,NA,NA
"BOOK",8003,NA,NA,NA,NA,NA,NA
"FUN",7989,NA,NA,NA,NA,NA,NA
"TRIAL",8006,NA,NA,NA,NA,NA,NA
"NATURAL",8004,NA,NA,NA,NA,NA,NA
"NICE",7989,NA,NA,NA,NA,NA,NA
"FUN",7988,NA,NA,NA,NA,NA,NA
"CLASS",8002,NA,NA,NA,"Unrelated",NA,NA
"PUNCH",7988,NA,NA,NA,NA,NA,NA
"CANS",8005,NA,NA,NA,NA,NA,NA
"PEACE",8006,NA,NA,NA,NA,NA,NA
"WANT",8004,NA,NA,NA,NA,NA,NA
"KIND",7989,NA,NA,NA,NA,NA,NA
"PARTY",7988,NA,NA,NA,NA,NA,NA
"LEAF",8001,NA,NA,NA,NA,NA,NA
"FIRST",7989,"Studied",22,2,NA,"7",NA
"BRANCH",7988,"Studied",12,2,"Related",NA,"TWIG"
"MICE",7989,NA,NA,NA,NA,NA,NA
"MAJOR",8004,NA,NA,NA,NA,NA,NA
"PROVE",7989,NA,NA,NA,NA,NA,NA
"READ",8005,"Studied",39,2,"Identical","29",NA
