"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"VOLCANO","z",1.172395,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SMOKE","slash",1.58513,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",41,3,"Identical",NA,NA,NA
"TWELVE","slash",0.897695,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",13,2,NA,NA,"21","5"
"DOOR","slash",2.133365,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"ENTER","z",0.865175,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",27,1,NA,NA,NA,NA
"ARMS","z",0.74949,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SPICE","z",1.99781,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"THIEF","slash",1.397565,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",23,3,NA,NA,NA,NA
"MAD","z",0.69884,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"WATER","z",2.951975,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CLEAR","z",0.71128,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"TOES","z",0.84877,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",18,4,"Identical",NA,"18",NA
"WOOD","z",1.4251,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"BIRD","slash",0.64941,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",15,2,"Identical",NA,"14","55"
"ANNOY","z",0.862885,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"CLASS","z",0.9331,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"TOCK","z",0.679275,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"MONEY","slash",0.715595,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",12,2,NA,NA,"33","86,91"
"PROBLEM","z",0.90028,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"ENGLISH","z",0.731245,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"HAPPY","z",0.56591,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"DIRT","slash",0.63236,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",18,3,NA,NA,"2","21"
"MINUS","z",1.996395,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",39,1,"Identical",NA,NA,NA
"HOTEL","slash",0.90041,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",10,3,NA,NA,"37","28"
"TENNIS","slash",0.715765,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",9,4,NA,NA,"19","38"
"EXCUSE","z",0.83399,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"CANDLE","slash",0.596095,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",10,4,NA,NA,"20","39"
"KISS","slash",0.71572,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",12,3,"Identical",NA,"28","31"
"HATE","z",0.82579,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"FROG","slash",0.599785,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",4,3,NA,NA,"8","23"
"SQUARE","slash",1.02999,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",39,4,NA,NA,"13",NA
"SPOTS","z",1.03297,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"ROOF","z",0.799635,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"LOSE","z",0.867085,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SHOES","slash",0.53258,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",38,3,NA,NA,"23",NA
"STAMP","slash",1.201425,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"MOTHER","slash",0.633395,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",32,4,NA,NA,"12","69"
"PLANE ","z",0.67965,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SONG","z",0.678855,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"WHEAT","slash",1.06607,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",33,3,"Identical",NA,NA,NA
"OUTTAKE","z",0.66731,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"STICKY","slash",1.54451,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"READ","slash",0.71229,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",15,4,NA,NA,"3","68"
"BALLET","slash",0.533565,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",16,4,NA,NA,"16","70"
"STOP","slash",0.65084,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",36,2,NA,NA,"3","46"
"WINTER","slash",0.56431,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",2,4,"Identical",NA,"22","35"
"CHEESE","z",0.71535,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",41,2,NA,NA,"18",NA
"WHERE","z",0.84927,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",14,1,"Identical",NA,NA,NA
"FIRST","slash",0.896865,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",24,4,NA,NA,"9",NA
"PICTURE","slash",1.43362,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",7,3,NA,NA,"9","16"
"PAIN","slash",0.634085,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",35,4,NA,NA,"32","72"
"CHAIN","slash",0.615995,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",5,4,NA,NA,"27","41"
"PIECE","z",0.912055,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SUBJECT","z",1.48285,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"CHURCH","z",1.015995,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"INHALE","slash",0.73025,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",6,4,NA,NA,"23","37"
"PURPOSE","slash",1.62759,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PACKAGE","z",0.990025,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"BALL ","z",2.431675,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"BABY","z",1.033975,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"ITCH","z",0.61509,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"NIGHTS","z",1.150135,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"BREAK","z",0.83237,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PHONE","z",0.750495,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",18,1,NA,NA,"14",NA
"FISH","slash",0.800185,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",39,2,NA,NA,"15","53"
"PLANT","slash",0.682155,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",6,1,NA,NA,"10,17","88"
"WEIGHT","slash",0.73182,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",32,2,NA,NA,"24",NA
"SPIT","slash",0.86718,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"FINGER","z",1.062025,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",31,1,NA,NA,"5",NA
"TIRED","z",0.6997,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SILVER","z",0.683115,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"GIRLS","z",0.683385,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,"Studied",28,1,NA,NA,NA,NA
"DRESS","z",0.81598,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"MAYBE","z",0.625285,"RB",1,"2020-07-14_17h49.18.366","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
