"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"NECK","z",3.32208,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PURPLE","",NA,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",5,2,NA,NA,"3",NA
"WEIGHT","slash",2.07258,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",31,4,NA,NA,NA,NA
"ALLOW","slash",2.80155,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CARD","z",2.27896,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CANCER","z",1.271315,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",5,3,NA,NA,"27",NA
"TIGHT","slash",1.0414,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",32,1,NA,NA,"9",NA
"MONEY","z",1.820365,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",36,4,"Identical",NA,NA,NA
"HORSE","slash",1.480955,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",10,3,NA,NA,"21",NA
"KNIT","z",0.930455,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CLASS","z",2.297245,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"MIDDLE","slash",0.84804,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",33,2,NA,NA,"41",NA
"STAIRS","z",2.38605,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",37,4,"Identical",NA,NA,NA
"FISH","slash",0.682175,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",24,4,"Identical",NA,NA,"80"
"OUTTAKE","z",1.11819,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"EXACT","slash",1.350175,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"WHOLE","slash",1.021355,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",34,3,"Identical",NA,NA,NA
"CRACKER","slash",1.03585,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",20,4,"Identical",NA,NA,NA
"GLORY","z",2.853095,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PEPPER","z",1.930785,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",40,3,NA,NA,"17",NA
"DIRT","slash",1.739025,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",5,1,NA,NA,NA,NA
"WORK","slash",0.7009,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",7,4,NA,NA,"12","72"
"DESERT","z",1.705105,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SPOON","z",2.2822,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",28,3,NA,NA,NA,NA
"PRESENT","z",1.43535,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",4,1,"Identical",NA,NA,NA
"MONKEY","z",2.5863,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PROPER","z",1.26563,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"TRASH","slash",3.10998,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",38,1,NA,NA,"11",NA
"CLOWN","z",1.013465,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"LOVE","z",2.99786,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"TOES","slash",0.69345,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",10,2,NA,NA,"13","39"
"PACKAGE","z",1.38054,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"JAIL","z",3.033655,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"MEAN","slash",1.383005,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"STRANGE","slash",2.765855,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SMALL","z",3.585345,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"NAVY","z",1.119805,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",26,2,NA,NA,NA,NA
"SILVER","",NA,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"MANY","slash",1.181995,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"QUART","z",2.498485,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",8,3,"Identical",NA,"36",NA
"SMOKE","slash",2.666895,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,"Studied",15,1,NA,NA,NA,NA
"ROAD","slash",1.196475,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"REAL","slash",2.737295,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"TALK","slash",1.180935,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"FRONT","slash",1.187455,"HX",2,"2020-07-03_12h58.32.919","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
