"DelayedWord","DelayedRT","Studied","StudyPosition","Block","PrimeCondition","Day1OutputPosition","PrimedRelated"
"CLOCK",1933.315,"Studied",10,1,NA,"17",NA
"SNAKE",2321.295,"Studied",29,3,NA,"32",NA
"GROSS",2001.05,"Studied",12,2,NA,"13",NA
"THREAD",1816.38,"Studied",23,4,"Identical","10",NA
"WEST",4417.495,"Studied",1,2,NA,"2",NA
"PLANET",1916.22,"Studied",2,2,NA,"3",NA
"LAUGH",1417.88,"Studied",3,2,NA,"4",NA
"PAIN",1633.715,"Studied",1,4,NA,"1",NA
"BIRTH",1901.37,NA,NA,NA,NA,NA,NA
"WOMAN",1365.63,NA,NA,NA,NA,NA,NA
"GRASS",2366.475,"Studied",35,1,NA,"4,41",NA
"ANIMAL",2016.285,"Studied",36,1,NA,"6",NA
"MINUTE",1734.15,"Studied",34,1,NA,"5",NA
"NOSE",1333.445,"Studied",22,4,NA,"6",NA
"FIRST",1466.53,"Studied",37,4,NA,"5",NA
"THIRST",1367.36,"Studied",25,4,NA,"4",NA
"",8003.45,NA,NA,NA,NA,NA,NA
"WORK",2098.1,"Studied",7,2,NA,"8",NA
"NICKEL",1306.645,"Studied",8,2,NA,"10",NA
"SMOOTH",2185.025,"Studied",9,2,"Identical","9",NA
"THERE",1589.45,"Studied",5,1,NA,"16,1",NA
"YOURS",1599.8,"Studied",19,1,NA,"15",NA
"BEFORE",1866.405,"Studied",25,1,NA,"14",NA
"BEHIND",1833.47,"Studied",32,1,NA,"13",NA
"WORLD",4433.76,"Studied",28,3,NA,"39",NA
"DAGGER",3699.845,"Studied",30,2,"Identical","31",NA
"EMPIRE",1364.74,"Studied",34,2,NA,NA,NA
"TWELVE",2984.11,"Studied",28,2,"Identical","32",NA
"RIGHT",1349.595,"Studied",29,2,NA,"33",NA
"PURPLE",1333.195,"Studied",35,4,NA,"15",NA
"",7991.36,NA,NA,NA,NA,NA,NA
"RIVER",1631.4,NA,NA,NA,NA,NA,NA
"",8001.345,NA,NA,NA,NA,NA,NA
"",8000.35,NA,NA,NA,NA,NA,NA
"",8000.35,NA,NA,NA,NA,NA,NA
"",8001.475,NA,NA,NA,NA,NA,NA
"BOOT",5925.935,NA,NA,NA,NA,NA,NA
"",7999.99,NA,NA,NA,NA,NA,NA
"DUSK",1418.795,"Studied",2,3,NA,"2",NA
"DIRT",4134.335,"Studied",1,3,NA,"1",NA
"CAMP",1666.71,"Studied",3,3,"Identical","3",NA
"DIRTY",1532.4,"Studied",20,3,NA,"13",NA
"THIRST",1266.69,"Studied",25,4,NA,"4",NA
"HUNGER",1132.665,"Studied",34,4,NA,"8",NA
"",8000.49,NA,NA,NA,NA,NA,NA
"",7999.46,NA,NA,NA,NA,NA,NA
"",8000.275,NA,NA,NA,NA,NA,NA
"PICTURE",3331.81,"Studied",9,3,NA,"16",NA
"PRESENT",2149.855,"Studied",8,3,NA,"15",NA
"SHOE",2346.735,"Studied",7,4,NA,NA,NA
"SHOES",1118.25,"Studied",7,3,"Identical","14",NA
"",8001,NA,NA,NA,NA,NA,NA
"JUMP",1099.095,"Studied",19,3,NA,"17",NA
"HOOPS",1617.295,NA,NA,NA,NA,"18",NA
"WRECK",6935.42,NA,NA,NA,NA,NA,NA
"",7988.79,NA,NA,NA,NA,NA,NA
"CHAIR",3849.135,"Studied",23,2,NA,"17",NA
"BOMB",933.775,"Studied",24,2,NA,"18",NA
"",8002.375,NA,NA,NA,NA,NA,NA
"CUT",2265.325,NA,NA,NA,NA,NA,NA
"ENTER",4649.355,"Studied",6,1,NA,"3",NA
"EXTENT",1800.3,NA,NA,NA,NA,NA,NA
"",7996.895,NA,NA,NA,NA,NA,NA
"",8009.535,NA,NA,NA,NA,NA,NA
"",8000.975,NA,NA,NA,NA,NA,NA
"",7999.695,NA,NA,NA,NA,NA,NA
"",8000.1,NA,NA,NA,NA,NA,NA
"",8000.24,NA,NA,NA,NA,NA,NA
"",8001.175,NA,NA,NA,NA,NA,NA
"",7998.605,NA,NA,NA,NA,NA,NA
"",8001.565,NA,NA,NA,NA,NA,NA
"",8001.565,NA,NA,NA,NA,NA,NA
"",7999.02,NA,NA,NA,NA,NA,NA
"",8000.42,NA,NA,NA,NA,NA,NA
"FEEL",1515.925,NA,NA,NA,NA,NA,NA
"SHOW",4934.4,NA,NA,NA,NA,NA,NA
"",8001.63,NA,NA,NA,NA,NA,NA
"",8001.56,NA,NA,NA,NA,NA,NA
"GROUND",3467.5,NA,NA,NA,NA,"27",NA
"CANCER",6950.64,"Studied",26,1,"Identical","8",NA
"",8000.605,NA,NA,NA,NA,NA,NA
"",8000.68,NA,NA,NA,NA,NA,NA
"",8000.75,NA,NA,NA,NA,NA,NA
"",8001.19,NA,NA,NA,NA,NA,NA
"",8001.13,NA,NA,NA,NA,NA,NA
"",8001.565,NA,NA,NA,NA,NA,NA
"",8001.565,NA,NA,NA,NA,NA,NA
"",8001.59,NA,NA,NA,NA,NA,NA
"FINGER",1416.87,"Studied",9,1,NA,NA,NA
"HAMMER",2933.11,"Studied",38,2,NA,"30",NA
