"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"SURE","slash",0.720745,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"NECK","slash",1.2043,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"DEAF","z",0.786195,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",5,4,NA,NA,NA,NA
"ARGUE","z",0.902915,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",40,1,NA,NA,NA,NA
"LAND","slash",1.157175,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",23,4,"Identical",NA,NA,NA
"PENCIL","slash",1.26576,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"DOCTOR","slash",1.245795,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"ALLOW","slash",1.258585,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"JAIL","slash",2.15513,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"POUND","z",0.647575,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",8,4,NA,NA,NA,NA
"GUITAR","slash",0.62377,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",20,3,NA,NA,NA,NA
"HATE","slash",0.57965,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SHALLOW","z",0.404775,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"ARMS","slash",1.32645,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"BOSS","z",0.452825,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"BIKE","slash",0.60025,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SPICE","slash",0.57823,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SPIT","slash",0.513615,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"BIRD","slash",0.68773,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",14,3,"Identical",NA,NA,NA
"WILD","z",0.48877,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",39,1,NA,NA,"5",NA
"PRIDE","slash",0.826305,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PIECE","slash",0.72648,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SOFT","z",0.77765,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"PICTURE","slash",0.67736,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",16,4,NA,NA,NA,NA
"HUNGER","slash",0.820245,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",26,1,NA,NA,NA,NA
"BABY","z",0.640695,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"SMILE","z",0.677495,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",6,4,"Identical",NA,NA,NA
"MAD","slash",0.65603,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CELL","slash",0.737105,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"FRONT","z",0.655425,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"NIGHTS","slash",0.837225,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"DREAM","slash",0.687605,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SOUTH","z",0.626105,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",25,4,NA,NA,NA,NA
"WAITER","slash",1.02163,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,"Studied",31,1,NA,NA,NA,NA
"SILVER","slash",1.42256,"IA",2,"2020-07-10_15h46.55.956","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
