"DelayedWord","DelayedRT","Studied","StudyPosition","Block","PrimeCondition","Day1OutputPosition","PrimedRelated"
"FROG",3820.065,"Studied",8,4,NA,"19",NA
"TENNIS",3318.225,"Studied",11,1,NA,"1",NA
"WAITER",3166.95,"Studied",14,1,NA,"10",NA
"BALLET",1316.355,"Studied",6,1,NA,"8",NA
"MOTHER",1551.3,"Studied",8,1,NA,"3",NA
"TIGER",1250.07,"Studied",33,2,NA,"4",NA
"KISS",5651.125,"Studied",9,4,NA,"20",NA
"SHOES",1666.055,"Studied",10,4,NA,"21",NA
"THIEF",1050.62,"Studied",20,4,NA,"30",NA
"SWAMP",2736.535,"Studied",17,4,NA,"27",NA
"TRAIN",1750.86,"Studied",14,4,NA,"24",NA
"",8001.05,NA,NA,NA,NA,NA,NA
"NICKEL",3849.705,"Studied",20,3,NA,"21",NA
"HORN",1683.09,"Studied",22,3,NA,"22",NA
"",8002.71,NA,NA,NA,NA,NA,NA
"",8000.73,NA,NA,NA,NA,NA,NA
"",8002.17,NA,NA,NA,NA,NA,NA
"LAKE",4031.995,"Studied",4,4,NA,"26",NA
"GRASS",6333.005,"Studied",1,2,NA,"12",NA
"",8001.39,NA,NA,NA,NA,NA,NA
"",8000.64,NA,NA,NA,NA,NA,NA
"",8000.255,NA,NA,NA,NA,NA,NA
"",7998.96,NA,NA,NA,NA,NA,NA
"SLOW",2700.31,"Studied",7,1,NA,"9",NA
"",8000.54,NA,NA,NA,NA,NA,NA
"FOREST",2317.245,NA,NA,NA,NA,NA,NA
"",7998.545,NA,NA,NA,NA,NA,NA
"",7999.77,NA,NA,NA,NA,NA,NA
"TIGHT",6488.985,"Studied",15,4,NA,"25",NA
"",8000.025,NA,NA,NA,NA,NA,NA
"HOOP",6701.28,"Studied",23,4,NA,"13",NA
"SMOKE",1681.035,"Studied",28,4,NA,"12",NA
"DROWN",1167.145,NA,NA,NA,NA,"10",NA
"",8001.08,NA,NA,NA,NA,NA,NA
"",8000.755,NA,NA,NA,NA,NA,NA
"BLACK",3166.615,"Studied",33,4,NA,"17",NA
"",8000.475,NA,NA,NA,NA,NA,NA
"CEMENT",3049.665,NA,NA,NA,NA,NA,NA
"BUCKET",1767.26,"Studied",13,1,NA,"20",NA
"",8001.32,NA,NA,NA,NA,NA,NA
"",7999.7,NA,NA,NA,NA,NA,NA
"FIELD",2799.865,NA,NA,NA,NA,NA,NA
"",7999.375,NA,NA,NA,NA,NA,NA
"BEE",4549.685,NA,NA,NA,NA,NA,NA
"SPIDER",3480.745,"Studied",16,1,NA,"2,11",NA
"",7999.71,NA,NA,NA,NA,NA,NA
"",8000.095,NA,NA,NA,NA,NA,NA
"",7997.1,NA,NA,NA,NA,NA,NA
"",8005.4,NA,NA,NA,NA,NA,NA
"",7999.74,NA,NA,NA,NA,NA,NA
"",8002.43,NA,NA,NA,NA,NA,NA
"",7999.625,NA,NA,NA,NA,NA,NA
"",8000.915,NA,NA,NA,NA,NA,NA
"",8000.835,NA,NA,NA,NA,NA,NA
"",7992.7,NA,NA,NA,NA,NA,NA
"BOAT",5517.915,NA,NA,NA,NA,NA,NA
"",8006.265,NA,NA,NA,NA,NA,NA
"",7998.59,NA,NA,NA,NA,NA,NA
"",8000.935,NA,NA,NA,NA,NA,NA
"",7998.85,NA,NA,NA,NA,NA,NA
"WEST",7349.86,"Studied",6,3,NA,"5",NA
"FRANCE",1081.835,"Studied",11,3,NA,"1",NA
"CHEESE",952.835,"Studied",5,3,NA,"3",NA
"CRACKER",3866.135,"Studied",2,3,NA,"2",NA
"SUN",3449.755,NA,NA,NA,NA,NA,NA
"",8000.705,NA,NA,NA,NA,NA,NA
"",7999.855,NA,NA,NA,NA,NA,NA
"",7996.05,NA,NA,NA,NA,NA,NA
"",8000.56,NA,NA,NA,NA,NA,NA
"",7997.685,NA,NA,NA,NA,NA,NA
"",8004.12,NA,NA,NA,NA,NA,NA
"",7993.23,NA,NA,NA,NA,NA,NA
"FEATHER",1434.125,NA,NA,NA,NA,NA,NA
"",7999.15,NA,NA,NA,NA,NA,NA
"",8002.475,NA,NA,NA,NA,NA,NA
"",8002.14,NA,NA,NA,NA,NA,NA
"",8009.02,NA,NA,NA,NA,NA,NA
"",8000.545,NA,NA,NA,NA,NA,NA
"",8000.32,NA,NA,NA,NA,NA,NA
"",8001.52,NA,NA,NA,NA,NA,NA
"",8001.145,NA,NA,NA,NA,NA,NA
"",7999.85,NA,NA,NA,NA,NA,NA
"",8003.905,NA,NA,NA,NA,NA,NA
"",8002.27,NA,NA,NA,NA,NA,NA
"",8000.05,NA,NA,NA,NA,NA,NA
"",7998.48,NA,NA,NA,NA,NA,NA
"",8000.585,NA,NA,NA,NA,NA,NA
"",7999.27,NA,NA,NA,NA,NA,NA
"",7999.315,NA,NA,NA,NA,NA,NA
"",2.234999964,NA,NA,NA,NA,NA,NA
