"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"SLEEP","slash",1.3705,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CLOWN","slash",1.54846,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CAKE","z",1.023555,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"GRAVE","z",1.27397,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SHALLOW","z",2.21739,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"TRASH","slash",1.251665,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",40,1,NA,NA,"1",NA
"FAKE","z",0.917475,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"KNIT","z",0.75062,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"STUPID","z",0.96712,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"BABY","z",0.831165,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"PENCIL","slash",1.767435,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"ONCE","z",1.094775,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SMOKE","slash",1.551995,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",36,1,"Identical",NA,"11",NA
"STORY","z",2.11845,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",3,4,NA,NA,NA,NA
"TIGER","slash",0.63647,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",10,3,NA,NA,"31","31"
"BEFORE","slash",0.68468,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",24,3,NA,NA,"14",NA
"MIDDLE","slash",0.93365,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",15,2,NA,NA,"24",NA
"NOISE","slash",1.0545,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",35,1,NA,NA,NA,NA
"DEATH","z",3.14351,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"FINGER","slash",1.561225,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",36,3,NA,NA,"6",NA
"STARS","z",2.62069,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"DREAM","slash",2.600805,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"GRAND","z",0.94139,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SHOVE","slash",0.918895,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",33,3,NA,NA,"11",NA
"JUMP","slash",0.576,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",24,1,"Identical",NA,"39","23"
"SPIDER","z",1.12595,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",5,2,"Identical",NA,NA,NA
"WARM","z",1.169165,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"STRESS","z",0.873195,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SELLER","slash",0.63976,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",6,4,NA,NA,NA,NA
"DEAF","slash",0.838035,"MH",2,"2020-07-02_10h05.25.962","DelayedExp","2020.1.3",60,"Studied",31,1,NA,NA,"7",NA
