"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","PrimeCondition","RelatedPrime","Day1Position","Day2Position"
"LOVE","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA
"STOP","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",13,3,"Identical",NA,NA,NA
"VERB","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",14,1,"Identical",NA,NA,NA
"SMILE","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",24,4,"Identical",NA,NA,NA
"BRAIN","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"LAKE","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",25,4,NA,NA,NA,NA
"VOTE","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SOFT","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"DEATH","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"CHILD","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"NEWS","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"RULE","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"FISH","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",17,3,"Identical",NA,NA,NA
"SELF","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"POUND","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",6,4,NA,NA,"9","21"
"GLASSES","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"SUPPER","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",36,1,NA,NA,NA,NA
"ORANGE","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",38,3,NA,NA,NA,NA
"BOMB","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",14,3,NA,NA,NA,NA
"LARGE","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA
"WORLD","",NA,"KL",2,"2020-07-10_12h39.15.322","DelayedExp","2020.1.3",60,"Studied",29,4,NA,NA,NA,NA
