Participant,Prime,Prime_Duration,rt,Response,Accuracy
JB,PIAZZA,117.325,1366.165,PIZZA,0
JB,TRIVIA,116.06,1500.32,TRIVIA,1
JB,MUZZLE,115.995,1101.54,MUZZLE,1
SG,SPUNK,110.395,1415.405,SPUNK,1
SG,HOSTEL,116.64,4929.13,XXXXX,0
SG,SHAVE,116.375,7993.3,XXXXX,0
SG,CHEAT,116.36,7994.805,XXXXX,0
SG,LYNX,116.47,7992.07,NOTHING,0
SG,TRAITOR,116.305,6011.375,XXXXX,0
SG,KEEP,116.59,2613.92,KEEP,1
SG,CORNER,116.42,8002.325,XXXXX,0
SG,CHEER,116.22,2830.66,CHEER,1
SG,CEASE,116.575,1748.54,CEASE,1
SG,EFFIGY,116.57,1431.865,XXXXX,0
SG,RESUME,116.62,2064.825,PRESUME,1
SG,SNAP,116.67,899.395,SNAP,1
SG,SPAN,116.525,832.44,PAN,1
SG,WIND,116.485,899.135,WIND,1
SG,TRIVIA,116.47,2148.165,TRIVIAL,1
SG,VODKA,116.66,1914.995,VODKA,1
SG,PIAZZA,116.585,1098.905,PIZZA,0
SG,PULL,116.415,2880.545,PULLS,1
SG,FOREST,116.58,1508.16,FOREST,1
SG,SUIT,116.935,1007.385,SUIT,1
SG,MUZZLE,124.68,1732.375,MUZZLE,1
SG,MEET,116.835,965.615,MEET,1
SG,FAUNA,116.53,1648.685,FANCY,0
SG,MIDLAND,132.28,949.585,MIDLAND,1
SG,FLAK,116.645,1049.165,FLAKE,1
SG,SPUN,116.625,849.42,SPUN,1
SG,PEEP,129.095,799.465,PEEP,1
SG,ERUPT,116.485,1274.03,ERUPT,1
SG,FREAK,116.47,909.15,FREAK,1
SG,STARK,116.505,915.795,STARS,0
SG,VOID,116.49,1913.87,VOID,1
SG,UNEASY,116.56,1698.425,UNEASY,1
SG,REACTOR,116.63,1432.42,REACTOR,1
SG,CLAW,116.15,1148.62,CLAW,1
SG,DAMAGE,116.465,1357.64,DAMAGE,1
