participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1
SG,MUSCLE,4012.715,Studied,35,1,NA,2,Identical,MINUTE,NA,NA
SG,DOOR,6960.385,Studied,25,3,Identical,NA,NA,NA,NA,NA
SG,CLAM,4812.195,Studied,1,2,NA,3,Related,ALTER,CHANGE,NA
SG,BEACH,5369.275,Studied,15,2,NA,1,firstword,firstword,NA,NA
SG,BUBBLES,7993.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG,VINES,2488.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG,POOL,4579.255,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,NEWPHEW,2082.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,LANDSCAPE,1782.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,SORRY,4067.54,Studied,20,2,NA,4,Related,CAMERA,PICTURE,NA
CC,DIRT,1199.375,Studied,3,2,NA,8,Related,FOUR,FIVE,NA
CC,DUST,1049.68,NA,NA,NA,NA,2,Identical,GHOST,NA,NA
CC,HOTEL,1583.43,Studied,2,2,NA,1,firstword,firstword,NA,NA
CC,WRENCH,6001.505,NA,NA,NA,NA,6,Unrelated,PENNY,NA,NA
CC,WATER,6584.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,SORRY,1599.74,Studied,20,2,NA,4,Related,CAMERA,PICTURE,NA
CC,GIRL,2800.395,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,GIRLS,1200.35,Studied,6,4,Identical,NA,NA,NA,NA,NA
CC,OVERLOAD,6383.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,TIGER,3149.38,Studied,2,4,Identical,NA,NA,NA,NA,NA
CC,ANIMAL,1915.79,Studied,5,4,NA,1,firstword,firstword,NA,NA
CC,BIRDS,3450.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,LAKE,4066.7,Studied,36,2,NA,6,Unrelated,SMALL,NA,NA
CC,APOLOGIZE,5065.955,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,RUN,2216.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,SALAD,3048.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,QUEST,3150.825,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,HOTEL,2382.535,Studied,2,2,NA,1,firstword,firstword,NA,NA
CC,PIPE,4882.075,NA,NA,NA,NA,10,Related,INMATE,JAIL,NA
CC,LEAD,3231.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,LED,1732.505,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,DOG,1900.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,SPEED,7384.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC,CLEANED,2882.255,NA,NA,NA,NA,NA,NA,NA,NA,NA
