participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1
JT,SILVER,4174.665,Studied,12,1,NA,8,Related,HEDGE,BUSH,NA
JT,GLASSES,2557.77,Studied,24,3,NA,3,Related,CLEVER,SMART,NA
JT,GRASS,3667.975,NA,NA,NA,NA,NA,NA,NA,NA,NA
JT,ROAD,5408.67,NA,NA,NA,Unrelated,NA,NA,NA,NA,NA
JT,SPIT,1849.405,Studied,5,1,NA,NA,NA,NA,NA,SALIVA
JT,NUMBER,5063.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
JT,HAPPY,3216.3,Studied,9,4,NA,NA,NA,NA,NA,DELIGHT
AD,PLEAD,7990.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,STRIPE,7989.6,Studied,4,2,Identical,26,Identical,STRIPE,NA,NA
AD,GRAND,7989.845,Studied,1,3,NA,1,firstword,firstword,NA,NA
AD,SLIDE,7990.065,Studied,5,2,NA,10,Unrelated,MEAN,NA,NA
AD,DEATH,7990.25,Studied,12,2,NA,19,Unrelated,SPOON,NA,BIRTH
AD,GUILT,7989.865,Studied,10,3,NA,15,Unrelated,STREAM,NA,NA
AD,SHALLOW,7990.215,Studied,3,2,NA,"11,15",Related,TRACTOR,TRAILER,NA
AD,WATER,7990.165,Studied,32,4,NA,19,Unrelated,LAKE,NA,NA
AD,UNDER,7990.065,Studied,42,3,NA,34,Related,BENEATH,UNDER,BENEATH
AD,BOARD,7990.14,Studied,10,1,NA,1,firstword,firstword,NA,NA
AD,LOVE,7990.15,Studied,25,1,NA,10,Related,CAPTAIN,SHIP,NA
AD,LAUGH,7990.27,Studied,40,1,NA,"16,32",Related,BIZZARE,STRANGE,NA
AD,MAID,7990.11,Studied,4,4,Identical,"4,8",Identical,MAID,NA,NA
AD,BAKE,7990.215,NA,NA,NA,Related,NA,NA,NA,NA,NA
AD,OVEN,7993.465,Studied,15,4,NA,28,Related,BAKE,CAKE,NA
AD,ANNOY,7989.165,Studied,36,2,NA,6,Related,BIRTH,DEATH,BOTHER
AD,DRESS,7990.605,Studied,17,1,Identical,9,Identical,DRESS,NA,NA
AD,BUSH,7990.25,Studied,8,2,NA,12,Identical,RAIN,NA,NA
AD,TOCK,7990.15,Studied,27,2,NA,20,Related,DISLIKE,HATE,NA
AD,POTATO,7990.115,Studied,6,2,NA,13,Related,PLIERS,TOOL,NA
AD,CHILD,7999.415,Studied,42,2,NA,14,Related,CHARGE,CARD,NA
AD,MANY,7988.775,Studied,41,2,NA,3,Related,BLADE,KNIFE,NA
AD,DOCTOR,7990.385,Studied,28,3,NA,25,Unrelated,HORN,NA,NA
AD,LAUGH,7989.745,Studied,40,1,NA,"16,32",Related,BIZZARE,STRANGE,NA
AD,STICKY,7988.3,Studied,8,1,NA,6,Related,GLUE,STICKY,GLUE
AD,TOUCH,7990.745,Studied,17,3,NA,NA,NA,NA,NA,CARESS
AD,HEAR,7989.86,Studied,12,1,NA,7,Related,VIRUS,SICK,NA
AD,SING,7990.065,Studied,27,1,NA,"19,31",Unrelated,CANDLE,NA,NA
AD,MUSIC,7989.98,NA,NA,NA,NA,21,Related,SEARCH,FIND,NA
AD,SCISSORS,7990.075,Studied,14,2,NA,5,Related,BOTHER,ANNOY,NA
AD,HAIR,7990.245,Studied,37,1,NA,8,Related,BAND,MUSIC,NA
AD,BOARD,7989.06,Studied,10,1,NA,1,firstword,firstword,NA,NA
AD,MAGIC,7988.495,Studied,39,1,Identical,37,Identical,MAGIC,NA,NA
AD,NINE,7990.025,Studied,42,4,NA,"1,29",firstword,firstword,NA,NA
AD,STAIRS,7989.535,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD,LAWYER,7990.685,NA,NA,NA,Unrelated,NA,NA,NA,NA,NA
AD,TOUCH,7989.795,Studied,17,3,NA,NA,NA,NA,NA,CARESS
ST,THIRST,7991.33,Studied,1,1,NA,1,firstword,firstword,NA,NA
ST,MOTHER,7991.045,Studied,4,1,NA,4,Related,SERVER,WAITER,NA
ST,NAVY,7997.33,Studied,13,1,NA,5,Related,LEAST,MOST,NA
ST,BEHIND,8000.26,Studied,31,2,Identical,NA,NA,NA,NA,NA
ST,PURPLE,8002.75,Studied,41,1,NA,8,Unrelated,DESERT,NA,NA
ST,PICKLE,8000.785,Studied,32,3,NA,26,Related,DILL,PICKLE,DILL
ST,FINGER,8000.815,Studied,39,2,NA,6,Related,PUSH,SHOVE,NA
ST,PHONE,7999.795,Studied,28,2,NA,7,Related,HALF,WHOLE,NA
ST,YELLOW,8001.22,Studied,40,3,NA,5,Unrelated,SHIRT,NA,NA
ST,SHOES,7999.695,Studied,4,4,NA,1,firstword,firstword,NA,NA
ST,STAIRS,7991.155,Studied,9,3,NA,11,Unrelated,MILK,NA,NA
ST,SHEETS,8000.05,Studied,7,3,NA,6,Identical,WEIGHT,NA,NA
ST,PICTURE,8001.315,Studied,24,4,NA,4,Related,MUTE,DEAF,NA
ST,RIGHT,7999.97,Studied,8,3,NA,15,Related,IMAGINE,DREAM,NA
ST,SMOOTH,8000.985,Studied,33,3,NA,13,Identical,STREAM,NA,NA
ST,ROCK,8000.155,Studied,15,2,Identical,NA,NA,NA,NA,NA
ST,GRASS,7999.76,Studied,23,2,NA,17,Related,SALT,PEPPER,NA
ST,FLOWER,7999.905,Studied,42,3,NA,9,Related,TALE,STORY,NA
ST,WORLD,8000.035,Studied,21,4,Identical,34,Identical,WORLD,NA,NA
ST,WEIG,7998.815,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST,WEIGHT,7999.91,Studied,22,3,Identical,NA,NA,NA,NA,NA
ST,DOOR,7999.975,Studied,29,4,NA,3,Related,ABOVE,BELOW,NA
ST,THERE,8000.325,Studied,19,2,NA,25,Identical,BEFORE,NA,NA
ST,WHERE,8001.09,Studied,22,2,NA,9,Related,LATE,EARLY,NA
ST,YOU,7999.925,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST,ORANGE,7996.895,Studied,19,3,NA,39,Unrelated,GUILT,NA,PEEL
ST,BRANCH,8000.13,Studied,14,1,NA,18,Related,UNITED,STATES,NA
ST,LEAVES,7999.645,Studied,37,2,NA,NA,NA,NA,NA,RAKE
ST,STAR,7993.31,NA,NA,NA,NA,41,Unrelated,WARM,NA,NA
ST,WHOLE,7994.79,Studied,2,2,NA,12,Identical,SPOON,NA,HALF
ST,SHORT,8003.79,Studied,9,2,NA,2,Identical,LEMON,NA,NA
ST,HORSE,8003.75,Studied,10,2,NA,3,Unrelated,SLIDE,NA,NA
ST,FENCE,7995.145,Studied,11,2,NA,4,Unrelated,STRIPE,NA,NA
ST,HUNGRY,8003.575,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST,BEACH,8002.885,Studied,14,3,Identical,NA,NA,NA,NA,NA
ST,THIEF,8006.445,Studied,30,4,Identical,10,Related,TOAD,FROG,NA
ST,PRESENCE,7998.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST,BLACK,7995.515,Studied,11,4,NA,12,Identical,TRAIN,NA,NA
ST,DREAM,6605.93,Studied,24,3,NA,NA,NA,NA,NA,IMAGINE
MS2,GUILT,1883.205,Studied,7,1,NA,"3,30",Identical,BRAIN,NA,NA
MS2,ROSE,3233.565,Studied,4,1,NA,4,Related,BENEATH,UNDER,NA
MS2,BIKE,1217.99,Studied,3,1,NA,"2,17,39",Unrelated,STREAM,NA,NA
MS2,DOCTOR,3600.185,Studied,13,1,NA,8,Unrelated,CHEESE,NA,NA
MS2,BABY,1282.15,Studied,12,1,NA,7,Identical,CLIMB,NA,NA
MS2,SKIN,1882.235,Studied,16,1,NA,"23,35",Related,CAVITY,TOOTH,NA
MS2,RIDE,5234.345,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,CAR,3668.005,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,HORSE,5434.62,NA,NA,NA,Unrelated,NA,NA,NA,NA,NA
MS2,MONKEY,6932.17,Studied,21,2,NA,"2,37",Related,SATIN,SILK,NA
MS2,HILL,6301.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,CRY,3767.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,CRIB,1184.51,NA,NA,NA,NA,42,Identical,SHERIFF,NA,NA
MS2,HEART,1767.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,ACCOUNT,4701.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,RECALL,2533.355,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,REPEAT,1733.38,Studied,6,1,NA,9,Related,AGAIN,REPEAT,AGAIN
MS2,NAIL,5435.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,BOIL,1699.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,TRAIL,1448.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,TRIAL,1049.095,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,SKIP,4167.135,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,ZIP,1432.255,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,CRASH,4650.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,GUN,2883.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,RACK,6318.26,NA,NA,NA,NA,16,Related,PICK,CHOOSE,NA
MS2,MONEY,3949.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,DOLLAR,1801.26,NA,NA,NA,Unrelated,37,Unrelated,DOLLAR,NA,NA
MS2,GRASS,2500.305,NA,NA,NA,Unrelated,NA,NA,NA,NA,NA
MS2,GRAPH,2083.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,TRACK,7916.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,MONKEY,2884.91,Studied,21,2,NA,"2,37",Related,SATIN,SILK,NA
MS2,TANG,8001.115,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,TANGLE,5849.465,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,WRITE,2700.375,Studied,21,1,Identical,"14,11",Identical,WRITE,NA,NA
MS2,ATTACK,2134.115,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,POKR,3032.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,POKE,1917.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,ALPHA,2065.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,SCARED,4990.525,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,SCAR,1483.235,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,EAT,1400.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,APPLE,2382.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,REPEAT,1800,Studied,6,1,NA,9,Related,AGAIN,REPEAT,AGAIN
MS2,W,7999.895,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,WOMEN,1068.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,OUCH,4834.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,PRESS,3083.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,THOUGHT,5633.225,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,BRIDGE,4715.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,HELP,4599.4,NA,NA,NA,NA,31,Related,HARD,SOFT,NA
MS2,EXCITED,2401.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,LUNCH,2833.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,HEAD,2983.83,Studied,19,1,NA,18,Unrelated,CRACKER,NA,SKULL
MS2,APPEAL,1655.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,CASE,3201.315,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,HEARD,5096.905,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,ROUGH,4317.515,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,WRITE,4766.405,Studied,21,1,Identical,"14,11",Identical,WRITE,NA,NA
MS2,FRIEND,5168.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,INJURY,1666.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,OPEN,5415.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,SHUT,4593.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,ORANGE,1765.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,CALCULATE,2451.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,HERE,5200.865,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,SITTING,3283.795,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,FLY,7368.985,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,ZIPPER,6299.345,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,HEART,1838.255,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,CELLS,2332.645,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,CELL,2217.365,Studied,15,1,NA,24,Identical,SHIRT,NA,NA
MS2,ELEMENY,6766.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,ELEMENT,2750.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,BACK,4932.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,MONTH,5101.555,NA,NA,NA,NA,40,Related,DAYS,NIGHTS,NA
MS2,NIGHT,6183.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS2,SLEEP,2116.45,Studied,17,2,NA,"11,22",Identical,WATER,NA,NA
TP,MARRY,4183.765,Studied,30,3,NA,4,Related,SKETCH,DRAW,NA
TP,MAID,4999.3,Studied,3,1,NA,1,firstword,firstword,NA,NA
TP,BANK,1032.955,Studied,4,1,NA,11,Identical,SNEEZE,NA,TELLER
TP,CARRY,1316.1,Studied,2,1,NA,2,Unrelated,LAND,NA,NA
TP,FRONT,1167.45,Studied,1,1,NA,"3,12",Unrelated,LEARN,NA,NA
TP,CAKE,1482.88,Studied,7,1,NA,9,Related,ERASER,PENCIL,NA
TP,OVEN,1148.75,Studied,9,1,Identical,10,Unrelated,FIVE,NA,NA
TP,SMALL,2449.79,Studied,16,1,NA,7,Identical,OVEN,NA,NA
TP,LARGE,1498.705,Studied,34,1,NA,13,Unrelated,STOMACH,NA,NA
TP,LAUGH,3834.425,Studied,30,2,NA,12,Unrelated,LESS,NA,NA
TP,ALLO,2149.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,ALLOW,1817.465,Studied,37,1,NA,21,Unrelated,LAKE,NA,NA
TP,KNIFE,2265.615,Studied,1,3,Identical,"12,18",Identical,KNIFE,NA,NA
TP,DEATH,1283.97,Studied,25,3,NA,25,Related,PLEASE,THANKS,BIRTH
TP,YOUNG,1333.175,Studied,2,3,NA,14,Unrelated,FENCE,NA,NA
TP,HATEFUL,1616.285,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,SHERIFF,2083.385,Studied,17,3,Identical,10,Identical,SHERIFF,NA,NA
TP,EXCUSE,3599.96,Studied,19,3,NA,7,Identical,HATE,NA,NA
TP,DRAW,2515.94,Studied,22,3,NA,33,Unrelated,DOLLAR,NA,SKETCH
TP,VOTE,1083.675,Studied,23,3,NA,32,Identical,DISAGREE,NA,NA
TP,CHURCH,3316.05,Studied,24,2,NA,2,Related,LICE,HAIR,NA
TP,FOOD,1466.985,Studied,18,2,Identical,23,Identical,SICK,NA,NA
TP,LETTUCE,1367.145,Studied,17,2,NA,22,Identical,FOOD,NA,NA
TP,SALE,1249.57,NA,NA,NA,NA,36,Unrelated,TRAIN,NA,NA
TP,TAKE,3553.32,Studied,39,2,NA,16,Identical,HAPPY,NA,NA
TP,TALK,2932.75,Studied,31,2,Identical,11,Identical,TALK,NA,NA
TP,JEANS,2716.75,Studied,26,1,NA,34,Related,MAXIMUM,MINIMUM,DENIM
TP,SHORT,3949.98,NA,NA,NA,Unrelated,22,Unrelated,SHORT,NA,NA
TP,GAME,3299.84,Studied,7,2,NA,8,Identical,YEAR,NA,NA
TP,LOVE,1483.04,Studied,4,2,NA,"7,42",Identical,BREAK,NA,NA
TP,FIND,833.395,Studied,5,2,NA,6,Unrelated,LOOK,NA,NA
TP,TWIS,8001.445,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,STRANGE,5849.53,Studied,22,2,NA,21,Identical,CHOOSE,NA,BIZZARE
TP,HAI,949.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,HAIR,916.595,Studied,21,2,NA,28,Unrelated,SLOW,NA,LICE
TP,BOARDED,2917.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,STORAGE,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,LISTEN,1632.415,NA,NA,NA,Related,36,Related,LISTEN,HEAR,NA
TP,DISALLOW,4684.92,NA,NA,NA,NA,32,Related,MOAT,CASTLE,NA
TP,PLEDGE,7834.745,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,FIR,8000.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,FOOD,7401.3,Studied,18,2,Identical,23,Identical,SICK,NA,NA
TP,JUST,5934.075,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,WORD,1316.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,ENGLISH,1283.36,Studied,40,1,Identical,25,Related,GREET,HELLO,NA
TP,LETTER,1265.94,Studied,39,1,NA,24,Identical,ENGLISH,NA,NA
TP,GRAMMAR,2284.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,OUT,1769.855,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,OWE,5718.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,SALE,850.33,NA,NA,NA,NA,36,Unrelated,TRAIN,NA,NA
TP,BOUGHT,2133.865,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,GARDEN,2451.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,LEVEL,3283.635,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,CHOSE,4649.125,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,VOLCANO,4458.46,Studied,3,2,NA,5,Related,MAIN,STREET,NA
TP,MAGICAL,5582.975,NA,NA,NA,NA,4,Identical,BOARD,NA,NA
TP,TREE,1378.67,Studied,1,2,NA,3,Unrelated,TENNIS,NA,NA
TP,ERPT,6602.545,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,ERUPT,2265.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,THIK,3296.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,THINK,1576.265,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,HARD,7291.945,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,ESY,2015.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,EASY,1597.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,JOKE,2575.765,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,PUPPET,2677.395,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,DOLL,1502.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,STRANE,6266.845,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,STRANGE,1816.175,Studied,22,2,NA,21,Identical,CHOOSE,NA,BIZZARE
TP,UNSURE,3834.035,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,CONTENT,1766.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,EXCLUDE,2350.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,CONTEXT,1816.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,EXTENT,1416.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,ELEMENT,6400.815,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,EYE,2416.735,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,EYES,1015.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,WALK,3100.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,TRIP,2199.745,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,FALL,883.755,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,BAGEL,1534.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,MAP,7551.035,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP,WOMAN,7350.915,NA,NA,NA,NA,34,Unrelated,QUEEN,NA,NA
OA,HOOK,2382.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
OA,MOST,4570.625,Studied,10,3,NA,9,Identical,BORROW,NA,LEAST
OA,LESS,3514.855,Studied,32,3,Identical,42,Related,HIDE,SEEK,NA
OA,GRASS,4948.17,Studied,14,4,Identical,31,Identical,BEFORE,NA,NA
OA,BRIDE,7365.89,Studied,17,2,NA,NA,NA,NA,NA,NA
OA,FISH,5996.795,Studied,27,1,NA,9,Identical,DAGGER,NA,NA
OA,TIGER,2203.7,Studied,4,4,Identical,9,Related,GUYS,GIRLS,NA
OA,THERE,1203.92,Studied,19,4,NA,11,Unrelated,SCISSORS,NA,NA
OA,BEHOLD,2119.69,NA,NA,NA,NA,14,Related,GUMS,TEETH,NA
OA,FIVE,7869.6,Studied,38,2,NA,18,Related,LIPS,KISS,NA
OA,NUMBER,1752.63,Studied,26,1,NA,"7,16",Identical,GROSS,NA,NA
OA,SPOO,8000.135,NA,NA,NA,NA,NA,NA,NA,NA,NA
OA,DEVIL,5181,Studied,8,2,NA,6,Unrelated,SPICE,NA,NA
OA,GHOST,2931.4,Studied,3,2,NA,5,Related,ABOVE,BELOW,NA
OA,SMILE,1732.47,Studied,41,2,NA,12,Identical,BLACK,NA,NA
OA,LAND,1754.205,Studied,29,2,NA,33,Related,ACRE,LAND,ACRE
OA,TRAIN,1654.39,Studied,2,2,NA,10,Unrelated,MONKEY,NA,CABOOSE
OA,JUMP,7998.58,Studied,40,2,NA,2,Identical,LAKE,NA,NA
OA,QUART,4765.805,Studied,38,4,NA,1,firstword,firstword,NA,NA
OA,TABLE,5681.2,NA,NA,NA,NA,36,Unrelated,BRAIN,NA,NA
OA,MESSY,1548.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
OA,MONEY,7547.915,Studied,39,1,Identical,35,Unrelated,STING,NA,NA
OA,SHOES,4914.845,Studied,21,2,Identical,41,Identical,SHOES,NA,NA
OA,FINGER,3348.685,Studied,5,4,NA,15,Unrelated,TOCK,NA,NA
OA,FENCE,1388.89,Studied,7,4,Identical,41,Identical,FENCE,NA,NA
OA,PEPPER,1515.87,Studied,2,4,NA,28,Identical,BEHIND,NA,SALT
OA,PLANT,2265.64,Studied,3,4,Identical,29,Identical,ENTER,NA,NA
OA,WHOLE,5081.33,Studied,28,4,Identical,27,Identical,PLANT,NA,NA
OA,SHOVE,5482.175,Studied,6,4,NA,5,Identical,TIGER,NA,NA
OA,PILE,4548.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
OA,MIDDLE,1114.56,Studied,28,3,NA,NA,NA,NA,NA,NA
OA,CHOOSE,3388.61,NA,NA,NA,Unrelated,NA,NA,NA,NA,NA
OA,MINUS,4798.365,Studied,12,4,NA,35,Related,PLUS,MINUS,PLUS
OA,NEPHEW,1988.66,Studied,29,1,NA,26,Related,HYMN,SONG,NIECE
OA,YELLOW,1799.555,Studied,31,1,NA,5,Related,WIDTH,LENGTH,NA
OA,ORANGE,2138.4,Studied,30,1,Identical,4,Identical,ORANGE,NA,NA
OA,HOOP,3048.545,Studied,13,2,NA,3,Related,SLAY,KILL,NA
OA,BUCKET,7988.43,Studied,33,3,Identical,40,Identical,BUCKET,NA,NA
OA,SLOW,5372.165,Studied,24,3,NA,20,Identical,ALIVE,NA,NA
OA,CAMP,1849.05,Studied,23,2,NA,30,Related,TENT,CAMP,TENT
EX,BREAD,6402.865,Studied,31,2,NA,10,Unrelated,SMOOTH,NA,NA
EX,BABY,4150.28,Studied,3,2,NA,3,Unrelated,YELLOW,NA,NA
EX,WOOD,1964.55,Studied,4,2,Identical,4,Identical,WOOD,NA,NA
EX,MONKEY,1933.54,Studied,10,3,NA,NA,NA,NA,NA,GORILLA
EX,GLASSES,1967.98,Studied,15,3,NA,7,Unrelated,SOUTH,NA,NA
EX,PENCIL,1481.985,Studied,14,3,NA,13,Identical,CAKE,NA,NA
EX,BIKE,1301.24,Studied,30,2,NA,9,Related,PATIENT,DOCTOR,NA
EX,ANNOYING,2550.6,NA,NA,NA,NA,24,Unrelated,TIGER,NA,NA
EX,TREE,1615.685,Studied,5,4,NA,6,Related,SHOP,STORE,NA
EX,ROOF,1401.025,Studied,15,4,NA,10,Identical,CLEAR,NA,NA
EX,MUSIC,1154.265,NA,NA,NA,NA,16,Related,GOWN,DRESS,NA
EX,BELL,6499.66,Studied,17,4,NA,14,Unrelated,MIDDLE,NA,NA
EX,SING,5786.165,Studied,18,4,NA,15,Related,HEATER,WARM,NA
EX,STREET,1499.9,Studied,34,4,NA,35,Unrelated,SLOW,NA,MAIN
EX,DESERT,1449.46,Studied,2,4,NA,2,Identical,TAKE,NA,NA
EX,PROBLEM,1467.935,Studied,1,4,NA,3,Unrelated,WINTER,NA,NA
EX,FOOD,2449.075,Studied,8,4,NA,4,Related,MAIN,STREET,NA
EX,LETTUCE,2199.78,Studied,20,4,Identical,18,Identical,LETTUCE,NA,NA
EX,SHIP,2433.87,Studied,40,4,NA,31,Unrelated,STATES,NA,CAPTAIN
EX,WARM,3049.14,Studied,42,4,NA,32,Unrelated,WILD,NA,HEATER
EX,WOOD,7999.985,Studied,4,2,Identical,4,Identical,WOOD,NA,NA
EX,CELL,8000.78,Studied,2,2,NA,2,Identical,NIGHTS,NA,NA
EX,WRITE,8000.67,Studied,13,2,NA,22,Unrelated,DAGGER,NA,NA
EX,CLASS,7999.18,Studied,14,2,NA,23,Related,DUMB,STUPID,NA
EX,EXPLODE,7998.375,Studied,16,2,NA,7,Identical,GUILT,NA,NA
EX,STORE,7999.705,Studied,31,4,NA,36,Unrelated,SEEK,NA,SHOP
EX,CHURCH,8002.875,Studied,32,4,Identical,24,Identical,CHURCH,NA,NA
EX,JACKET,7999.96,Studied,28,4,NA,22,Related,VEST,JACKET,VEST
EX,DRAW,7999.63,Studied,5,1,Identical,7,Unrelated,BEHIND,NA,NA
EX,TRAILER,8001.95,Studied,6,1,Identical,28,Identical,RENT,NA,NA
EX,POTATO,8003.545,Studied,8,1,NA,29,Related,PARDON,EXCUSE,GRAVY
EX,VOTE,7999.805,Studied,4,1,NA,8,Identical,TRAILER,NA,NA
EX,CHILD,7989.825,Studied,1,1,NA,3,Unrelated,WHERE,NA,NA
EX,DEATH,7998.7,Studied,2,1,NA,4,Unrelated,CLOCK,NA,NA
EX,KNIFE,8001.025,Studied,3,1,NA,5,Unrelated,HORSE,NA,NA
EX,SCISSORS,7999.6,Studied,12,1,NA,6,Identical,DRAW,NA,NA
EX,SHEEP,8000.11,Studied,20,2,Identical,8,Identical,SHEEP,NA,NA
EX,TOOTH,7998.4,Studied,28,2,NA,14,Unrelated,FISH,NA,NA
EX,STEAL,7998.975,Studied,27,2,NA,13,Related,THEFT,STEAL,THEFT
EX,CLIMB,8001.065,Studied,38,2,NA,17,Related,THORN,ROSE,NA
EX,PROPER,7988.21,Studied,37,2,NA,19,Related,PHONY,FAKE,NA
EX,BEAM,7998.59,NA,NA,NA,Related,26,Related,GRAFT,SKIN,NA
