DelayedWord,DelayedRT,Studied,StudyPosition,Block,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1
WRITE,1302.435,NA,NA,NA,NA,1,firstword,firstword,NA,NA
LAKE,6402.86,Studied,15,4,NA,NA,NA,NA,NA,NA
LEACE,2055.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPEAK,2285.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOOP,7988.91,Studied,31,4,Unrelated,NA,NA,NA,NA,NA
MALE,6997.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEX,1050.765,NA,NA,NA,NA,NA,NA,NA,NA,NA
WORD,2861.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAC,5695.225,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAT,1430.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
POOL,7635.775,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENTRY,3227.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,1891.455,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNAKE,3623.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOPE,3625.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPEAKER,3180.795,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALE,5468.185,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNOW,4536.835,NA,NA,NA,NA,NA,NA,NA,NA,NA
WORK,2125.225,Studied,8,3,Unrelated,NA,NA,NA,NA,NA
BOX,3347.475,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOTEL,6139.82,Studied,22,4,NA,NA,NA,NA,NA,NA
TRAIB,2166.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEAF,2562.86,Studied,37,4,NA,NA,NA,NA,NA,NA
NOISE,1520.79,Studied,38,4,Unrelated,NA,NA,NA,NA,NA
SM,7994.205,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMALL,2201.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
WEAK,2175.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOW,3118.355,NA,NA,NA,NA,NA,NA,NA,NA,NA
RICH,4937.825,NA,NA,NA,NA,NA,NA,NA,NA,NA
POOR,1284.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALE,2041.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
