participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCondition,PrimeDuration,OutputPosition,Block,StudyPosition,Studied,PrimeRecalledCondition,PrimeFor,IdentityPriming,Acc
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,WATER,1799.21,firstword,firstword,NA,1,1,1,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,FRONT,1684.01,DIGNITY,Related,49.675,2,1,2,Studied,NA,PRIDE,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,LARGE,1549.455,VAGUE,Related,50.345,3,1,11,Studied,NA,UNCLEAR,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,GLASSES,1733.34,LENS,Related,48.95,4,1,10,Studied,NA,GLASSES,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SILK,1600.155,BLAZE,Related,50.26,5,1,6,Studied,NA,FIRE,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,JEANS,1732.975,ONCE,Identical,49.92,6,1,12,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SMALL,1315.99,BALL,Identical,50.015,7,1,14,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,PAPER,2067.06,JUMP,Unrelated,50.715,8,1,13,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,PENCIL,1516.005,SERVANT,Related,50.23,9,1,34,Studied,NA,MAID,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,NINE,1300.47,SCRATCH,Related,48.68,10,1,31,Studied,NA,ITCH,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,MONKEYS,1615.575,SPICE,Identical,50.325,11,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,BANK,1500.27,CLEVER,Related,48.98,12,1,16,Studied,NA,SMART,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,COPY,1266.665,CARRY,Identical,49.82499999,13,1,18,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,BOSS,932.82,CAKE,Identical,49.705,14,1,36,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,MAID,1466.785,CAUSE,Related,37.04,15,1,40,Studied,NA,EFFECT,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,TIRED,1649.93,BORED,Related,50.94,16,1,15,Studied,NA,TIRED,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,CARRY,1466.525,ENGLISH,Identical,50.205,17,1,4,Studied,Identical,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SLEEP,1283.625,SOUTH,Unrelated,49.08500001,18,1,22,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,CAKE,1134.035,FINISH,Identical,51.13,19,1,24,Studied,Identical,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,OVEN,1133.245,GORILLA,Related,49.735,20,1,23,Studied,NA,MONKEY,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SLEEP,5084.13,DEAF,Unrelated,49.58,21,1,22,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,CASTLE,1565.945,PICTURE,Unrelated,49.235,22,1,17,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,PLAN,6116.78,PRESENT,Unrelated,52.89999999,23,1,30,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,ITCH,3384.17,LETTER,Identical,49.765,24,1,7,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,HELLO,8001.015,ALLERGY,Related,35.21,25,1,39,Studied,NA,SNEEZE,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.16,WANT,Identical,49.82499999,26,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.045,DUSK,Unrelated,50.325,27,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,BALL,8000.14,ANGER,Related,49.93,28,1,NA,NA,Identical,MAD,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.105,KILL,Unrelated,54.48499999,29,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.73,MINIMUM,Identical,50,30,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,TASK,8000.75,PERMIT,Related,49.47,31,1,NA,NA,NA,ALLOW,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.08,SURE,Identical,48.97,32,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.245,SMILE,Unrelated,50.745,33,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.825,SOFT,Identical,48.61500001,34,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.25,LAKE,Unrelated,50.80500001,35,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7998.815,STARS,Unrelated,49.69,36,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,ENGLISH,7998.76,SWEET,Unrelated,49.965,37,1,37,Studied,Identical,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8000.555,STOMACH,Unrelated,48.655,38,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.84,TIGHT,Unrelated,49.37,39,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,FIRE,7999.875,BELOW,Unrelated,49.81,40,1,28,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7998.945,CAMP,Unrelated,49.29,41,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,7999.455,GHOST,Unrelated,49.795,42,1,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,VOLCANO,3583.45,firstword,firstword,NA,1,2,1,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,BREAK,1684.115,TENNIS,Unrelated,48.81499999,2,2,4,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,NONE,1166.525,ROOF,Identical,51.165,3,2,3,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,LAUGH,1283.635,GOURMET,Related,58.985,4,2,2,Studied,NA,FOOD,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,BELL,2816.64,THREAD,Unrelated,50.57,5,2,5,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,CHOOSE,1500.36,NOSE,Unrelated,48.665,6,2,7,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,FIND,867.405,CHESS,Related,50.49,7,2,6,Studied,NA,GAME,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,FOOD,1165.665,NEWS,Unrelated,50.64,8,2,8,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,BOARD,1317.185,BRANCH,Unrelated,50.075,9,2,9,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,ROOF,2390.735,YEAR,Identical,70.77,10,2,10,Studied,Identical,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,MUSIC,1115.56,MAGIC,Identical,48.57,11,2,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,HAIR,2016.48,BORROW,Unrelated,50.97,12,2,15,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8001.05,WINTER,Unrelated,50.38,13,2,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,LETTUCE,2350.435,TALK,Identical,49.87,14,2,22,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SICK,1839.225,VIRUS,Related,50.005,15,2,25,Studied,NA,SICK,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,T,8001.145,BALLET,Unrelated,51.095,16,2,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,STICKY,3950.475,NAVY,Unrelated,49.825,17,2,29,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SMELL,3167.44,PERFUME,Related,49.575,18,2,27,Studied,NA,SMELL,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,BELL,2648.775,KIDNAP,Unrelated,49.375,19,2,5,Studied,NA,NA,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SHIP,3999.215,GATHER,Related,50.67,20,2,38,Studied,NA,COLLECT,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,MUSIC,2449.83,SING,Identical,49.67,21,2,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,TRANGE,1132.695,ADORE,Related,49.985,22,2,NA,NA,NA,LOVE,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,STRANGE,3233.65,GAIN,Related,49.905,23,2,34,Studied,NA,LOSE,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,DRESS,3049.995,ACORN,Related,49.90000001,24,2,32,Studied,NA,TREE,0,1
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,XXXXX,8001.395,SOAP,Unrelated,49.40500001,25,2,NA,NA,NA,NA,0,0
AK,1,2020-07-27_14h59.27.474,S2.1ConstantTotalFinal,2020.1.3,60,SWORD,1866.325,HAPPY,Identical,49.725,26,2,42,Studied,NA,NA,0,1
