"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"",515.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",399.155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1231.495,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",919.975,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1498.385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1087.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",869.2900001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",453.5749999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",650.4500001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",2530.195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",881.605,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",466.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1305.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",565.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",533.0699999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",349.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",532.1250001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",715.2800001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",748.5400001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THANKS",6310.74,"Studied",18,1,NA,"14","Unrelated","FENCE",NA,"PLEASE"
"THIN",5581.745,"Studied",10,1,NA,"13","Unrelated","CANCER",NA,NA
