"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"COFFEE",2650.235,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7988.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALENDAR",1870.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUTTER",4316.69,"Studied",12,1,"Identical",NA,NA,NA,NA,NA
"",8000.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOOK",2782.32,NA,NA,NA,"Related",NA,NA,NA,NA,NA
"MOVIE",3533.525,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.365,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",5432.415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8001.365,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FREE",3383.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7988.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7999.905,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.095,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",1732.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",8000.925,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",4432.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
