Participant,DelayedWord,DelayedRT,Studied,StudyPosition,Block,RecalledonDay1,ReportedPrimeFromDay1,Day1OutputPosition,Day1PrimeCondition,Day1Prime,Day1PrimeFor,RelatedPrimePresentedonDay1,ActualPrimeCondtion,Prime,PrimePosition,PrimeBlock
SK2,SUPPER,827.425,Studied,30,4,Recalled,NA,24,Related,DINNER,SUPPER,DINNER,related,dinner,24,4
SK2,MOTHER,1072.595,Studied,13,4,Recalled,NA,21,Unrelated,TREE,NA,NA,unrelated,,,
SK2,TOES,3576.595,Studied,16,4,Recalled,NA,19,Related,GUIDE,TOUR,NA,unrelated,,,
SK2,ARGUE,1129.735,Studied,20,4,Recalled,Identical,22,Related,CIRCLE,SQUARE,NA,identical,argue,15,4
SK2,WEST,3039.955,Studied,11,2,Recalled,NA,8,Identical,BEACH,NA,NA,unrelated,,,
SK2,GLORY,1458.1,Studied,13,2,Recalled,NA,10,Identical,MONEY,NA,NA,unrelated,,,
SK2,LAWYER,2852.775,Studied,23,2,Recalled,NA,5,Identical,RIGHT,NA,NA,unrelated,,,
SK2,MONEY,4153.55,Studied,16,2,Recalled,Identical,19,Related,BANJO,GUITAR,NA,identical,money,10,2
SK2,RIGHT,5685.145,Studied,24,2,NotRecalled,Identical,NA,NA,NA,NA,NA,identical,right,5,2
SK2,CLC,7997.285,Not Studied,NA,NA,NotRecalled,NA,NA,NA,NA,NA,NA,unprimed,,,
SK2,CLOCK,1072.74,Studied,1,1,Recalled,NA,1,firstword,firstword,NA,NA,firstword,,,
SK2,CANCER,3084.1,Studied,3,1,Recalled,NA,2,Unrelated,DEATH,NA,NA,unrelated,,,
SK2,WHOLE,795.7049999,Studied,4,1,Recalled,NA,3,Identical,QUART,NA,NA,unrelated,,,
SK2,SHARK,3935.74,Studied,7,1,Recalled,NA,31,Related,LION,TIGER,NA,unrelated,,,
SK2,NEWS,6854.41,Studied,7,4,Recalled,NA,28,Related,HIDE,SEEK,NA,unrelated,,,
SK2,KIDNAP,2791.04,Studied,33,4,Recalled,NA,12,Identical,CHAIN,NA,ABDUCT,related,abduct,8,4
