,Initials,MeanRT_NoPrime,MeanRT_Identical,MeanRT_Related,MeanRT_Unrelated
1,AD,5329.63,5678.951509,6169.086905,6612.993
2,AG,1186.58,1271.943269,1729.217241,2394.713833
3,AL,2099.928333,1819.032685,1968.518625,2836.850147
4,AM,2646.2725,2408.5775,2950.845,3108.377407
5,AM2,7996.91375,7877.818611,7978.0464,7844.376591
6,AM4,1854.97,1543.904659,2059.143056,3575.848571
7,AO,8001.25375,7734.990227,7819.816,8000.1475
8,AP,2862.245,2162.823108,2630.806522,2882.2725
9,AV,3805.058333,3083.289825,3791.514231,3240.640326
10,AW,8002.83125,8001.644565,8003.415952,7999.301
11,AY,1165.7975,1760.813939,3106.384231,2184.3175
12,BM,3267.19625,2279.602361,2534.558333,3079.362885
13,CB,2920.075,2844.505192,2400.759815,2241.079559
14,CC,1589.191667,1504.04,1422.933519,1375.1125
15,CS,7999.80625,7999.620417,8000.178214,8000.935556
16,CT,2094.526667,2481.120135,2564.16875,2278.2335
17,CW,3251.05875,2183.729512,2995.267826,2791.548125
18,DC2,1793.286667,1797.016977,1905.2325,1610.951053
19,EX,2289.511667,2591.19575,2997.751711,2350.791212
20,EX2,2433.05,1821.604405,1969.109839,1996.014583
21,GC,1868.158333,2775.741447,3434.097593,2704.590714
22,GJ,2709.98875,3222.79871,3879.324833,4028.2592
23,GN,7995.6075,7993.624625,7994.574405,7994.131296
24,IH,1607.69625,2545.225135,2481.214359,2403.570469
25,JA,2705.74375,2223.772297,2750.894464,2303.230476
26,JB,1734.018333,2051.298333,1807.937143,2361.090625
27,JB3,1825.383333,2041.907667,2431.884643,2291.059821
28,JB4,2714.735,1842.638939,1998.538462,2145.738235
29,JC2,3036.6675,1394.387632,2482.781522,2643.710667
30,JE,2099.72875,1624.708333,1786.203,1285.2388
31,JH,2361.6775,1452.660909,1398.314333,1252.365455
32,JL,4953.715,5314.142571,5390.718143,6047.177188
33,JM,2206.4,1500.653649,1535.835946,1261.671184
34,JT,1963.62,1836.818125,2082.757222,2893.425625
35,KB,7997.40875,7999.333816,8054.874706,8005.388448
36,KB2,3892.19875,4932.827826,3056.481563,3573.439773
37,KL,8001.68125,8021.27375,8000.207813,8000.057273
38,KM,2200.985,1887.923085,1617.139839,2083.835857
39,KT,3497.9775,2168.317955,2452.139881,2180.454605
40,KY,3157.04125,1834.940714,2911.113333,2464.04375
41,LG,1779.0525,1569.610196,1981.163,1883.344286
42,LL,2162.4725,2115.908243,1870.949,2163.5532
43,LT,3775.6275,2675.073485,2606.2776,3021.673333
44,MC,1844.246667,2735.55,2067.642083,2057.947903
45,MS2,1366.44,1862.967429,1772.255217,1826.016129
46,MT,2024.031667,2498.056364,2511.447692,2473.601111
47,NC,2114.86,1435.84,1895.798382,1886.26375
48,NS,4442.35875,2508.641667,2219.21875,2201.560833
49,OA,1784.57875,2385.237778,2239.411932,2037.457955
50,RK,6896.288333,2320.535833,2393.024474,2534.5505
51,RK2,2383.855,2412.200676,2287.017045,2408.018182
52,SA2,2608.0875,1871.179808,1767.000357,1937.117826
53,SF,2005.7675,1203.203269,1268.620278,1260.825
54,SG,2688.78875,1591.092273,2215.048333,2593.274286
55,SK,2680.00625,2508.944054,2097.95439,2287.605429
56,SK2,1771.27,1620.6388,1657.946786,1581.581818
57,SS,1699.5,1930.572917,2347.371071,1856.944833
58,SS2,3823.40875,4749.509118,4602.739091,2323.105
59,ST,8000.7875,8001.348387,7997.0645,7997.2276
60,SY,1478.51125,2326.742692,1514.287222,2048.3135
61,SZ,2050.65375,2352.388667,2358.450435,2202.31125
62,TD,1497.99,2094.456,2098.699643,2069.064643
63,TP,1458.85,1647.027,1910.457,1576.799643
64,VC,1690.47,1603.875,1410.778519,1503.875625
65,WB,2557.97375,2423.015286,2754.940909,1984.806429
66,ZP,1405.08875,1799.083714,1942.697821,1839.8125
,,3168.34214,2965.968467,3095.940142,3089.136354
