,MeanRT_NoPrime,MeanRT_Identical,MeanRT_Related,MeanRT_Unrelated,MeanRT_Total,StDevRT_Total,MeanZ,MeanZ_NP,MeanZ_Identical,MeanZ_Related,MeanZ_Unrelated
1,8001.185,8001.725857,8001.867143,8008.556184,8004.068125,25.49255905,8.29E-15,-0.113096727,-0.091880452,-0.086338219,0.176053695
2,2192.80375,2131.766591,2612.430952,2194.105323,2254.4726,1024.036121,-2.40E-17,-0.060221362,-0.11982586,0.349556373,-0.05895034
3,7999.4175,7998.91725,7998.770192,7998.317667,7998.685851,5.90070026,6.23E-14,0.123993578,0.039215504,0.01429343,-0.062396729
4,1947.45,1625.208333,1915.5275,1673.036364,1753.350442,1139.097942,8.72E-17,0.170397602,-0.112494373,0.142373234,-0.070506737
5,1361.85,2602.69375,2388.45,2287.493103,2386.61134,1358.337211,-4.02E-18,-0.754423373,0.159078621,0.001353611,-0.072970273
6,2962.73625,1926.487674,1968.435735,2184.688854,2065.750349,1044.258994,7.20E-18,0.858968806,-0.133360282,-0.093190113,0.113897516
7,2462.475,2548.599762,1896.27697,1849.46186,2122.910574,1189.773516,6.19E-17,0.285402576,0.357790102,-0.19048466,-0.229832577
8,2201.405,2197.035862,1748.1675,2520.5525,2175.152697,1543.737205,-4.80E-17,0.017005682,0.014175447,-0.276591894,0.223742618
9,2338.65,2336.510526,2828.895652,2840.68,2684.648684,1656.602477,7.02E-17,-0.208860417,-0.2101519,0.087073978,0.094187542
10,5743.43,4322.965,4072.547826,4682.402692,4398.292131,2393.449207,-4.68E-17,0.562008111,-0.031472208,-0.136098274,0.118703401
11,2274.21375,2646.377059,2526.6825,2497.944146,2543.043087,1141.279512,9.70E-17,-0.235550831,0.090542212,-0.014335302,-0.039516122
12,2615.5,1806.151163,1538.231111,2200.568571,1845.407874,1014.015736,-9.51E-17,0.759447904,-0.038714105,-0.302930962,0.350251662
13,3315.21625,1970.214259,2201.085167,2175.232273,2173.105,1240.523148,-7.55E-18,0.920669036,-0.163552563,0.022555135,0.001714819
14,2329.25,1857.925926,2186.1,2172.55,2065.549296,1493.374422,3.79E-17,0.176580434,-0.139029681,0.080723697,0.071650286
15,1713.385,1768.531667,1896.039468,2703.016935,2035.772615,1054.149749,5.67E-18,-0.305827152,-0.253513269,-0.13255531,0.632969197
16,7712.401667,7670.182571,7598.109,7054.675732,7434.955126,1353.150742,-1.99E-16,0.205037423,0.173836837,0.120573317,-0.281032543
17,2190.5825,1619.813333,1552.171711,1832.252581,1668.261885,718.2045855,2.47E-17,0.727258814,-0.06745787,-0.161639422,0.228334237
18,2469.045,1958.932561,2178.712273,2721.945,2213.367644,1356.880227,1.35E-16,0.188430306,-0.187514769,-0.025540479,0.374813743
19,1463.175,1303.99697,2631.914286,3351.395652,2237.492593,1835.294836,-5.44E-17,-0.421903651,-0.508635236,0.214909172,0.606934122
20,3724.33625,2515.689891,3355.404844,3481.423462,3041.750417,1565.110832,-5.07E-17,0.436126196,-0.336117107,0.200403972,0.280921348
21,4477.725,3361.739474,4143.453125,4057.120833,3832.840816,2183.274569,-9.45E-17,0.295374752,-0.215777415,0.142269009,0.102726437
22,3756.225,2639.647826,2237.05,2596.858824,2583.069355,1613.970713,-8.60E-17,0.726875423,0.035055451,-0.214390108,0.008543816
23,1933.73625,2280.492885,2718.814138,3095.235526,2624.139038,1805.130817,5.89E-17,-0.3824669,-0.190371884,0.052447778,0.26097637
Mean,3355.921486,3003.982878,3138.919004,3312.152786,3136.639023,1293.697644,3.06399E-15,0.17266201,-0.083920643,-0.00893748,0.123096326
