"","Recognized_Identical","Unrecognized_Identical","Recognized_Related","Unrecognized_Related","Recognized_Unrelated","Unrecognized_Unrelated"
"1",1,0,1,0,114,4
"2",1,0,1,0,41,17
"3",47,4,39,1,20,4
"4",34,17,19,10,18,11
"5",37,15,17,6,20,13
"6",23,9,15,3,22,5
"7",11,6,15,9,16,4
"8",30,13,24,11,12,1
"9",10,10,9,6,9,6
"10",31,5,17,1,17,2
"11",44,12,18,6,37,9
"12",20,2,18,3,8,1
"13",30,2,11,1,9,1
"14",30,4,23,7,23,3
"15",22,4,13,10,15,18
"16",11,23,7,2,8,17
"17",14,9,6,5,6,2
"18",18,18,7,15,25,22
"19",25,15,12,2,16,7
"20",28,14,16,3,21,17
"21",34,5,33,3,31,3
"22",27,15,6,4,17,7
"23",25,8,19,4,22,10
"24",18,12,21,5,17,7
"25",37,3,40,1,27,0
"26",22,12,22,12,16,10
"27",27,9,26,2,17,4
"28",31,7,22,6,17,6
"29",22,6,13,3,25,3
"30",21,9,17,9,27,6
"31",18,1,17,5,12,3
"32",27,8,19,8,14,11
"33",4,26,2,2,2,20
"34",29,5,22,3,26,4
"35",26,8,1,1,29,7
"36",12,4,11,3,18,3
"37",29,9,26,2,26,3
"38",23,0,11,5,20,2
"39",15,1,14,2,6,3
"40",35,11,25,6,26,8
"41",21,1,41,1,38,0
"42",3,4,5,1,7,1
"43",32,18,10,4,27,20
"44",32,3,27,3,22,3
"45",20,10,18,7,23,7
"46",21,8,14,6,21,8
"47",22,11,9,5,11,19
"48",17,3,6,6,13,5
"49",36,13,28,3,18,5
"50",1,2,3,1,2,2
"51",41,4,40,4,20,0
"52",8,10,6,11,6,14
"53",27,8,14,5,16,5
"54",18,7,4,7,14,9
"55",35,15,6,1,27,12
"56",8,2,10,2,5,2
"57",27,8,32,7,33,2
"58",18,7,32,8,35,7
"59",9,25,4,3,9,19
"60",18,16,11,10,5,5
"61",26,5,28,12,23,1
"62",8,5,7,2,6,4
"63",30,0,40,3,32,0
"64",20,9,24,4,16,10
"65",26,18,17,8,24,16
"66",15,13,4,2,12,10
"67",32,3,17,1,19,2
"68",22,11,24,8,28,10
