"","Day_One_Only_Ident","Both_Day_Ident","Day_Two_Only_Ident","Day_One_Only_Related","Both_Day_Related","Day_Two_Only_Related","Day_One_Only_Unrelated","Both_Day_Unrelated","Day_Two_Only_Unrelated","Day_One_Only_NoPrime","Both_Day_NoPrime","Day_Two_Only_NoPrime"
"1",6,10,0,10,8,0,16,9,0,3,1,0
"2",14,7,0,17,7,0,23,10,0,4,0,0
"3",29,3,0,29,1,0,21,5,0,2,1,0
"4",9,13,0,8,2,0,14,5,0,3,0,0
"5",26,24,0,15,11,0,11,17,0,1,3,0
"6",5,4,0,1,2,0,2,3,0,3,1,0
"7",24,13,0,32,10,0,18,14,0,2,2,0
"8",10,5,0,15,8,0,11,4,0,4,0,0
"9",14,2,0,10,0,0,18,1,0,3,0,0
"10",18,6,0,22,4,0,14,4,0,2,1,0
"11",5,3,0,7,5,0,8,2,0,3,0,0
"12",18,14,0,15,14,0,11,13,0,2,2,0
"13",15,16,0,16,11,0,16,7,0,3,1,0
"14",17,12,0,20,14,0,15,13,0,1,3,0
"15",2,1,0,7,0,0,2,2,0,1,2,0
"16",5,1,0,11,1,0,9,3,0,2,1,0
"17",27,17,0,28,9,0,23,11,0,3,1,0
"18",16,6,0,13,6,0,15,7,0,3,1,0
"19",30,3,0,20,5,0,23,4,0,2,2,0
"20",20,11,0,17,11,0,22,17,0,1,3,0
"21",13,2,0,15,1,0,19,3,0,4,0,0
"22",30,3,0,26,1,0,23,1,0,3,0,0
"23",15,7,0,11,8,0,12,8,0,1,2,0
"24",19,9,0,30,15,0,19,12,0,4,0,0
"25",17,10,0,12,9,0,18,6,0,2,1,0
"26",26,8,0,17,6,0,24,6,0,3,1,0
"27",25,16,0,24,12,0,30,24,0,1,3,0
"28",13,11,0,11,8,0,13,11,0,3,1,0
"29",16,23,0,17,20,0,14,23,0,4,0,0
"30",33,13,0,30,9,0,29,11,0,0,2,0
"31",6,0,0,9,2,0,8,3,0,2,0,0
"32",22,5,0,15,9,0,15,8,0,2,2,0
"33",32,13,0,28,14,0,25,15,0,3,1,0
"34",32,9,0,19,16,0,30,12,0,2,1,0
"35",15,11,0,14,12,0,15,13,0,1,3,0
"36",5,3,0,6,0,0,8,1,0,3,1,0
"37",7,3,0,5,1,0,4,3,0,2,1,0
"38",20,4,0,26,2,0,18,4,0,4,0,0
"39",14,12,0,23,11,0,22,11,0,3,1,0
"40",24,6,0,24,7,0,25,6,0,2,2,0
"41",36,4,0,20,4,0,28,5,0,2,2,0
"42",11,5,0,8,10,0,14,4,0,4,0,0
"43",29,30,0,25,16,0,25,20,0,2,2,0
"44",30,0,0,20,1,0,19,6,0,1,0,0
"45",15,9,0,13,10,0,24,7,0,2,1,0
"46",34,6,0,21,5,0,25,2,0,3,1,0
"47",18,5,0,29,3,0,27,7,0,3,1,0
"48",13,16,0,13,11,0,9,14,0,1,2,0
"49",38,5,0,37,5,0,24,4,0,3,1,0
"50",14,10,0,16,9,0,20,9,0,3,1,0
