,Total_NoPrime,Total_Identical,Total_Related,Total_Unrelated,Correct_NoPrime,Correct_Identical,Correct_Related,Correct_Unrelated,Proportion_NoPrime,Proportion_Identical,Proportion_Related,Proportion_Unrelated,Proportion_Recognized_Threshold
1,4,57,40,67,4,15,17,25,1,0.263157895,0.425,0.373134328,0
2,4,38,60,66,4,18,27,34,1,0.473684211,0.45,0.515151515,0
3,4,51,53,60,4,30,36,35,1,0.588235294,0.679245283,0.583333333,0.475
4,4,61,55,48,3,22,14,17,0.75,0.360655738,0.254545455,0.354166667,0.05
5,4,64,42,58,4,50,26,29,1,0.78125,0.619047619,0.5,0.45
6,4,59,57,48,4,9,3,4,1,0.152542373,0.052631579,0.083333333,0.1
7,4,46,62,56,4,39,45,33,1,0.847826087,0.725806452,0.589285714,0.6
8,4,51,55,58,4,20,21,16,1,0.392156863,0.381818182,0.275862069,0.225
9,4,48,47,69,3,11,9,17,0.75,0.229166667,0.191489362,0.246376812,0.125
10,4,53,61,50,4,25,22,18,1,0.471698113,0.360655738,0.36,0
11,4,51,57,56,3,9,12,12,0.75,0.176470588,0.210526316,0.214285714,0.225
12,4,53,48,63,4,35,30,27,1,0.660377358,0.625,0.428571429,0.125
13,4,53,53,58,3,31,26,23,0.75,0.58490566,0.490566038,0.396551724,0.475
14,4,45,49,70,4,32,34,37,1,0.711111111,0.693877551,0.528571429,0.325
15,4,58,52,54,3,3,6,3,0.75,0.051724138,0.115384615,0.055555556,0
16,4,55,58,51,3,6,11,12,0.75,0.109090909,0.189655172,0.235294118,0
17,4,53,50,61,4,48,33,31,1,0.905660377,0.66,0.508196721,0.475
18,4,50,50,64,3,28,23,32,0.75,0.56,0.46,0.5,0.25
19,4,55,50,59,4,34,27,28,1,0.618181818,0.54,0.474576271,0
20,4,54,39,71,4,34,28,41,1,0.62962963,0.717948718,0.577464789,0.4
21,4,52,51,61,4,15,16,22,1,0.288461538,0.31372549,0.360655738,0.45
22,4,56,60,48,3,34,6,5,0.75,0.607142857,0.1,0.104166667,0.175
23,4,53,48,63,3,19,21,19,0.75,0.358490566,0.4375,0.301587302,0.325
24,4,40,59,65,4,28,44,36,1,0.7,0.745762712,0.553846154,0.6
25,4,61,46,57,3,30,21,24,0.75,0.491803279,0.456521739,0.421052632,0.4
26,4,55,52,57,4,35,19,23,1,0.636363636,0.365384615,0.403508772,0.325
27,4,44,38,82,4,41,34,81,1,0.931818182,0.894736842,0.987804878,0.125
28,4,53,52,59,4,23,27,26,1,0.433962264,0.519230769,0.440677966,0.1
29,4,47,48,69,4,39,38,38,1,0.829787234,0.791666667,0.550724638,0.15
30,4,52,47,65,2,45,43,47,0.5,0.865384615,0.914893617,0.723076923,0.8
31,4,50,56,58,1,6,11,12,0.25,0.12,0.196428571,0.206896552,0.45
32,4,67,43,54,4,27,21,20,1,0.402985075,0.488372093,0.37037037,0
33,4,48,43,73,4,46,43,58,1,0.958333333,1,0.794520548,0.525
34,4,49,49,66,3,39,36,41,0.75,0.795918367,0.734693878,0.621212121,0.075
35,4,52,52,60,4,25,26,25,1,0.480769231,0.5,0.416666667,0.525
36,4,50,52,62,4,6,7,9,1,0.12,0.134615385,0.14516129,0.55
37,4,54,46,64,4,10,6,9,1,0.185185185,0.130434783,0.140625,0
38,4,48,50,66,4,23,27,21,1,0.479166667,0.54,0.318181818,0.375
39,4,49,53,62,4,34,41,49,1,0.693877551,0.773584906,0.790322581,0.4
40,4,59,49,56,3,29,20,21,0.75,0.491525424,0.408163265,0.375,0.25
41,4,61,39,64,4,38,16,11,1,0.62295082,0.41025641,0.171875,0.525
42,4,47,56,61,4,18,18,15,1,0.382978723,0.321428571,0.245901639,0.525
43,4,63,47,54,4,60,34,43,1,0.952380952,0.723404255,0.796296296,0.35
44,4,46,60,58,1,35,15,21,0.25,0.760869565,0.25,0.362068966,0.225
45,4,57,49,58,4,21,21,28,1,0.368421053,0.428571429,0.482758621,0.175
46,4,60,51,53,4,38,22,17,1,0.633333333,0.431372549,0.320754717,0.275
47,4,40,55,69,4,23,33,43,1,0.575,0.6,0.623188406,0.125
48,4,54,57,53,2,23,29,20,0.5,0.425925926,0.50877193,0.377358491,0
49,4,56,64,44,4,42,19,5,1,0.75,0.296875,0.113636364,0.4
50,4,48,47,69,4,26,27,33,1,0.541666667,0.574468085,0.47826087,0.625
mean,4,52.52,51.14,60.34,3.56,27.54,23.82,25.92,0.89,0.529040537,0.476681233,0.41595739,0.2825
