"","Recognized_Identical","Unrecognized_Identical","Recognized_Related","Unrecognized_Related","Recognized_Unrelated","Unrecognized_Unrelated"
"1",12,3,14,3,21,4
"2",17,0,19,5,22,9
"3",11,20,12,17,10,16
"4",20,1,9,1,15,3
"5",36,10,21,3,24,3
"6",8,1,2,1,3,1
"7",30,7,31,9,25,7
"8",15,0,21,2,14,1
"9",7,7,6,3,9,9
"10",17,4,19,4,17,0
"11",4,4,9,3,7,3
"12",25,7,25,4,19,5
"13",25,5,20,5,17,4
"14",26,3,30,3,26,2
"15",0,0,2,0,0,0
"16",5,1,12,0,12,0
"17",35,9,25,6,22,11
"18",17,5,14,4,18,3
"19",31,5,25,4,23,3
"20",27,4,22,6,28,8
"21",6,6,4,11,16,6
"22",21,11,3,5,15,9
"23",16,4,15,4,15,4
"24",22,6,29,15,19,11
"25",23,3,19,2,19,4
"26",24,7,15,4,22,6
"27",35,4,29,5,44,9
"28",15,7,12,6,19,4
"29",36,3,30,7,30,6
"30",35,8,32,6,31,9
"31",5,1,6,5,8,3
"32",25,1,21,2,22,0
"33",38,6,38,4,37,2
"34",34,5,31,4,37,5
"35",23,2,22,3,23,4
"36",6,2,4,0,6,3
"37",9,0,6,0,6,1
"38",15,8,19,8,14,7
"39",22,3,33,1,30,3
"40",21,2,15,2,18,1
"41",27,11,11,5,23,7
"42",12,4,15,3,13,4
"43",53,5,31,3,40,5
"44",7,22,3,2,6,17
"45",21,3,18,3,22,7
"46",25,7,19,1,19,5
"47",7,8,12,6,10,7
"48",24,2,20,3,18,0
"49",35,7,19,1,19,7
"50",21,2,21,4,26,2
