,Initials,Total_NoPrime,Total_Identical,Total_Related,Total_Unrelated,Correct_NoPrime,Correct_Identical,Correct_Related,Correct_Unrelated,Proportion_NoPrime,Proportion_Identical,Proportion_Related,Proportion_Unrelated,Proportion_Recognized_Threshold
1,AA,4,40,44,47,4,38,41,44,1,0.95,0.931818182,0.936170213,0.025
2,AB3,4,57,51,53,4,25,18,16,1,0.438596491,0.352941176,0.301886792,0.125
3,AD3,4,49,58,52,4,21,28,24,1,0.428571429,0.482758621,0.461538462,0.125
4,AE,4,50,52,62,3,34,20,27,0.75,0.68,0.384615385,0.435483871,0.275
5,AG2,4,53,56,55,2,8,8,8,0.5,0.150943396,0.142857143,0.145454545,0.075
6,AK,4,48,48,54,4,29,33,33,1,0.604166667,0.6875,0.611111111,0.3
7,AL2,4,50,43,61,4,36,31,31,1,0.72,0.720930233,0.508196721,0.175
8,AR2,4,42,60,62,4,14,20,25,1,0.333333333,0.333333333,0.403225806,0
9,AS,4,44,47,57,4,33,33,42,1,0.75,0.70212766,0.736842105,0.475
10,AS2,4,56,48,60,3,14,13,16,0.75,0.25,0.270833333,0.266666667,0.475
11,AS3,4,55,53,39,4,36,31,28,1,0.654545455,0.58490566,0.717948718,0.05
12,AY,4,49,46,52,4,30,27,36,1,0.612244898,0.586956522,0.692307692,0
13,BH,4,60,49,55,4,17,20,18,1,0.283333333,0.408163265,0.327272727,0
14,BL,4,62,45,57,4,20,19,21,1,0.322580645,0.422222222,0.368421053,0.15
15,BT,4,48,61,55,4,11,18,9,1,0.229166667,0.295081967,0.163636364,0
16,CB,4,62,58,44,4,13,15,12,1,0.209677419,0.25862069,0.272727273,0.210526316
17,CF,4,49,44,57,4,23,24,36,1,0.469387755,0.545454545,0.631578947,0.125
18,EC,4,52,48,49,4,29,29,30,1,0.557692308,0.604166667,0.612244898,0.15
19,EC3,4,55,50,52,4,19,19,13,1,0.345454545,0.38,0.25,0.425
20,EF,4,56,57,51,4,20,12,18,1,0.357142857,0.210526316,0.352941176,0.125
21,EG2,4,55,60,49,4,9,9,7,1,0.163636364,0.15,0.142857143,0.125
22,EG3,4,42,55,44,2,32,34,32,0.5,0.761904762,0.618181818,0.727272727,0
23,EH,4,57,60,47,2,2,2,7,0.5,0.035087719,0.033333333,0.14893617,0.05
24,EK,4,55,52,57,3,34,20,19,0.75,0.618181818,0.384615385,0.333333333,0.35
25,EW,4,59,52,49,3,18,12,15,0.75,0.305084746,0.230769231,0.306122449,0
26,GA,4,49,55,55,4,27,29,30,1,0.551020408,0.527272727,0.545454545,0.575
27,GM,4,36,60,42,4,30,53,36,1,0.833333333,0.883333333,0.857142857,0
28,HH,4,46,65,49,4,23,27,12,1,0.5,0.415384615,0.244897959,0.125
29,HK,4,57,58,45,3,17,15,13,0.75,0.298245614,0.25862069,0.288888889,0
30,HM,4,55,48,60,4,31,22,34,1,0.563636364,0.458333333,0.566666667,0.2
31,HP,4,47,46,49,4,32,25,36,1,0.680851064,0.543478261,0.734693878,0.2
32,JC,4,54,52,56,4,23,18,16,1,0.425925926,0.346153846,0.285714286,0.2
33,JG,4,50,58,56,4,11,12,15,1,0.22,0.206896552,0.267857143,0
34,JN,4,45,49,59,4,28,26,31,1,0.622222222,0.530612245,0.525423729,0.05
35,JN2,4,56,53,55,4,16,11,19,1,0.285714286,0.20754717,0.345454545,0.225
36,JX,4,50,54,58,4,21,23,24,1,0.42,0.425925926,0.413793103,0.075
37,KA,4,45,41,45,4,41,36,40,1,0.911111111,0.87804878,0.888888889,0.175
38,KB2,4,32,47,49,4,29,46,45,1,0.90625,0.978723404,0.918367347,0.05
39,KS,4,42,47,47,3,33,37,43,0.75,0.785714286,0.787234043,0.914893617,0.075
40,KW,4,57,51,52,4,27,17,18,1,0.473684211,0.333333333,0.346153846,0.275
41,KZ,4,48,49,36,4,34,37,27,1,0.708333333,0.755102041,0.75,0.15
42,LG,4,47,49,53,3,30,35,30,0.75,0.638297872,0.714285714,0.566037736,0.175
43,LH,4,48,46,65,4,41,21,33,1,0.854166667,0.456521739,0.507692308,0.4
44,LJ,4,61,59,39,4,18,9,9,1,0.295081967,0.152542373,0.230769231,0.15
45,LW,4,50,51,63,4,18,13,17,1,0.36,0.254901961,0.26984127,0.35
46,MG,4,50,41,63,4,18,10,18,1,0.36,0.243902439,0.285714286,NA
47,MR,4,44,62,58,4,25,13,16,1,0.568181818,0.209677419,0.275862069,0.125
48,NG,4,71,40,49,4,52,26,26,1,0.732394366,0.65,0.530612245,0.2
49,NJ,4,53,58,42,4,37,32,15,1,0.698113208,0.551724138,0.357142857,0.325
50,OC,4,43,59,62,4,23,22,24,1,0.534883721,0.372881356,0.387096774,0
51,RA,4,52,64,46,4,18,18,13,1,0.346153846,0.28125,0.282608696,0.05
52,RF,4,40,47,54,4,32,30,35,1,0.8,0.638297872,0.648148148,0.225
53,SC,4,52,67,44,3,16,14,9,0.75,0.307692308,0.208955224,0.204545455,0
54,SH2,4,43,46,66,4,24,19,38,1,0.558139535,0.413043478,0.575757576,0.075
55,TP,4,42,58,56,4,33,27,31,1,0.785714286,0.465517241,0.553571429,0
,Mean,4,50.36363636,52.30909091,52.6,3.745454545,24.96363636,22.89090909,24,0.936363636,0.513738079,0.452222072,0.462252152,0.15297271
