,Initials,Total_NoPrime,Total_Identical,Total_Related,Total_Unrelated,Correct_NoPrime,Correct_Identical,Correct_Related,Correct_Unrelated,Proportion_NoPrime,Proportion_Identical,Proportion_Related,Proportion_Unrelated,Proportion_Recognized_Threshold
1,AD,4,55,58,47,4,54,43,30,1,0.981818182,0.74137931,0.638297872,0.975
2,AG,4,56,51,54,4,55,45,49,1,0.982142857,0.882352941,0.907407407,0.825
3,AL,4,64,45,46,3,56,23,23,0.75,0.875,0.511111111,0.5,0.75
4,AM,4,47,56,61,4,32,19,23,1,0.680851064,0.339285714,0.37704918,0.475
5,AM2,4,55,50,59,4,19,25,23,1,0.345454545,0.5,0.389830508,0.75
6,AM4,4,60,53,51,4,43,35,14,1,0.716666667,0.660377358,0.274509804,0.625
7,AO,4,59,56,49,4,24,18,16,1,0.406779661,0.321428571,0.326530612,0.55
8,AP,4,52,49,63,2,38,16,13,0.5,0.730769231,0.326530612,0.206349206,0.725
9,AV,4,59,50,55,4,56,23,23,1,0.949152542,0.46,0.418181818,0.725
10,AW,4,64,55,45,4,23,21,11,1,0.359375,0.381818182,0.244444444,0.775
11,AY,4,59,54,51,4,32,9,7,1,0.542372881,0.166666667,0.137254902,0.8
12,BM,4,54,52,57,4,35,30,26,1,0.648148148,0.576923077,0.456140351,0.8
13,CB,4,43,56,65,4,27,23,27,1,0.627906977,0.410714286,0.415384615,0.25
14,CC,4,59,49,56,4,37,7,6,1,0.627118644,0.142857143,0.107142857,0.625
15,CS,4,62,59,43,4,29,17,8,1,0.467741935,0.288135593,0.186046512,0.425
16,CT,4,43,54,67,3,37,25,19,0.75,0.860465116,0.462962963,0.28358209,0.8
17,CW,4,64,40,60,4,40,14,15,1,0.625,0.35,0.25,0.55
18,DC2,4,57,56,50,3,43,19,19,0.75,0.754385965,0.339285714,0.38,0.425
19,EX,4,53,45,53,4,40,38,35,1,0.754716981,0.844444444,0.660377358,0.875
20,EX2,4,57,57,50,4,43,10,6,1,0.754385965,0.175438596,0.12,0.55
21,GC,4,54,47,63,3,37,21,25,0.75,0.685185185,0.446808511,0.396825397,0.6
22,GJ,4,53,56,48,4,31,27,24,1,0.58490566,0.482142857,0.5,0.475
23,GN,4,56,56,51,4,40,41,27,1,0.714285714,0.732142857,0.529411765,0.675
24,IH,4,54,49,56,4,36,39,33,1,0.666666667,0.795918367,0.589285714,0.675
25,JA,4,52,55,57,4,37,28,23,1,0.711538462,0.509090909,0.403508772,0.575
26,JB,4,60,51,41,3,41,31,24,0.75,0.683333333,0.607843137,0.585365854,0.525
27,JB3,4,57,54,51,3,31,22,21,0.75,0.543859649,0.407407407,0.411764706,0.425
28,JB4,4,53,51,47,3,32,28,30,0.75,0.603773585,0.549019608,0.638297872,0.7
29,JC2,4,49,56,57,4,20,24,13,1,0.408163265,0.428571429,0.228070175,0.8
30,JE,4,48,61,44,4,35,30,24,1,0.729166667,0.491803279,0.545454545,0.625
31,JH,4,62,55,47,4,31,4,1,1,0.5,0.072727273,0.021276596,0.775
32,JL,4,43,61,56,4,35,29,24,1,0.813953488,0.475409836,0.428571429,0.625
33,JM,4,56,57,51,3,35,2,1,0.75,0.625,0.035087719,0.019607843,0.625
34,JT,4,47,53,64,3,16,16,23,0.75,0.340425532,0.301886792,0.359375,0.925
35,KB,4,49,55,60,4,39,28,20,1,0.795918367,0.509090909,0.333333333,0.75
36,KB2,4,48,56,60,4,24,15,21,1,0.5,0.267857143,0.35,0.825
37,KL,4,67,44,48,4,16,15,11,1,0.23880597,0.340909091,0.229166667,0.35
38,KM,4,56,41,50,4,49,32,35,1,0.875,0.780487805,0.7,0.7
39,KT,4,36,57,51,4,22,42,38,1,0.611111111,0.736842105,0.745098039,0.45
40,KY,4,54,52,58,4,7,6,8,1,0.12962963,0.115384615,0.137931034,0.525
41,LG,4,67,39,57,4,50,12,16,1,0.746268657,0.307692308,0.280701754,0.65
42,LL,4,49,49,45,4,37,32,25,1,0.755102041,0.653061224,0.555555556,0.475
43,LT,4,52,44,50,4,33,27,33,1,0.634615385,0.613636364,0.66,0.45
44,MC,4,50,48,66,3,29,21,29,0.75,0.58,0.4375,0.439393939,0.55
45,MS2,4,53,55,56,3,35,19,14,0.75,0.660377358,0.345454545,0.25,0.675
46,MT,4,53,58,53,3,24,13,15,0.75,0.452830189,0.224137931,0.283018868,0.675
47,NC,4,63,47,54,4,52,30,19,1,0.825396825,0.638297872,0.351851852,0.7
48,NS,4,43,53,68,4,2,3,3,1,0.046511628,0.056603774,0.044117647,0.65
49,OA,4,55,55,54,4,46,44,21,1,0.836363636,0.8,0.388888889,0.75
50,RK,4,48,56,58,3,19,17,19,0.75,0.395833333,0.303571429,0.327586207,0.65
51,RK2,4,54,56,50,2,37,24,26,0.5,0.685185185,0.428571429,0.52,0.825
52,SA2,4,55,47,59,2,27,17,25,0.5,0.490909091,0.361702128,0.423728814,0.625
53,SF,4,70,46,48,4,51,8,5,1,0.728571429,0.173913043,0.104166667,0.575
54,SG,4,49,66,46,4,10,11,8,1,0.204081633,0.166666667,0.173913043,0.575
55,SK,4,43,54,50,4,32,39,33,1,0.744186047,0.722222222,0.66,0.325
56,SK2,4,35,53,57,4,24,41,43,1,0.685714286,0.773584906,0.754385965,0.4
57,SS,4,66,49,49,4,35,7,10,1,0.53030303,0.142857143,0.204081633,0.6
58,SS2,4,60,63,41,4,35,20,10,1,0.583333333,0.317460317,0.243902439,0.825
59,ST,4,53,52,50,4,31,40,24,1,0.58490566,0.769230769,0.48,0.75
60,SY,4,65,49,50,4,14,10,10,1,0.215384615,0.204081633,0.2,0.65
61,SZ,4,42,61,45,4,30,44,32,1,0.714285714,0.721311475,0.711111111,0.875
62,TD,4,58,46,48,4,30,28,29,1,0.517241379,0.608695652,0.604166667,0.85
63,TP,4,54,47,55,3,44,27,25,0.75,0.814814815,0.574468085,0.454545455,0.775
64,VC,4,53,62,49,4,29,6,6,1,0.547169811,0.096774194,0.12244898,0.775
