,Total_NoPrime,Total_Identical,Total_Related,Total_Unrelated,Correct_NoPrime,Correct_Identical,Correct_Related,Correct_Unrelated,Proportion_NoPrime,Proportion_Identical,Proportion_Related,Proportion_Unrelated,Proportion_Recognized_Threshold
1,4,49,50,65,3,35,35,38,0.75,0.714285714,0.7,0.584615385,1
2,4,51,43,70,4,46,21,39,1,0.901960784,0.488372093,0.557142857,0.95
3,4,44,55,65,3,42,53,59,0.75,0.954545455,0.963636364,0.907692308,0.625
4,4,55,53,56,4,35,27,25,1,0.636363636,0.509433962,0.446428571,0.85
5,4,49,53,62,3,32,32,28,0.75,0.653061224,0.603773585,0.451612903,0.65
6,4,45,36,83,4,43,34,78,1,0.955555556,0.944444444,0.939759036,0.675
7,4,48,39,77,4,43,34,47,1,0.895833333,0.871794872,0.61038961,0.8
8,4,47,60,57,4,27,22,24,1,0.574468085,0.366666667,0.421052632,0.775
9,4,47,49,68,4,19,24,30,1,0.404255319,0.489795918,0.441176471,0.85
10,4,52,53,59,4,22,19,13,1,0.423076923,0.358490566,0.220338983,0.825
11,4,47,45,72,4,38,35,47,1,0.808510638,0.777777778,0.652777778,0.875
12,4,50,50,64,4,46,48,63,1,0.92,0.96,0.984375,0.975
13,4,55,51,58,4,29,21,16,1,0.527272727,0.411764706,0.275862069,0.35
14,4,54,52,58,4,27,20,20,1,0.5,0.384615385,0.344827586,0.925
15,4,49,58,57,4,48,46,32,1,0.979591837,0.793103448,0.561403509,0.95
16,4,44,49,71,3,36,40,51,0.75,0.818181818,0.816326531,0.718309859,0.05
17,4,60,51,53,4,56,40,38,1,0.933333333,0.784313725,0.716981132,0.9
18,4,53,58,53,4,40,9,11,1,0.754716981,0.155172414,0.20754717,0.75
19,4,49,53,62,4,33,19,18,1,0.673469388,0.358490566,0.290322581,0.875
20,4,59,50,55,4,47,29,24,1,0.796610169,0.58,0.436363636,0.875
21,4,54,53,57,4,37,32,23,1,0.685185185,0.603773585,0.403508772,0.9
22,4,68,42,54,4,25,17,15,1,0.367647059,0.404761905,0.277777778,0.875
23,4,49,57,58,4,27,27,16,1,0.551020408,0.473684211,0.275862069,1
Mean,4,51.2173913,50.43478261,62.34782609,3.826086957,36.2173913,29.73913043,32.82608696,0.956521739,0.714301982,0.600008379,0.509831639,0.795652174
