"","Day_One_Only_Ident","Both_Day_Ident","Day_Two_Only_Ident","Day_One_Only_Related","Both_Day_Related","Day_Two_Only_Related","Day_One_Only_Unrelated","Both_Day_Unrelated","Day_Two_Only_Unrelated","Day_One_Only_NoPrime","Both_Day_NoPrime","Day_Two_Only_NoPrime"
"1",1,0,0,0,1,0,75,45,0,2,0,0
"2",0,0,0,0,1,0,39,19,0,3,1,0
"3",48,5,0,27,15,0,19,6,0,1,3,0
"4",40,12,0,23,6,0,22,8,0,3,1,0
"5",39,15,0,32,8,0,28,6,0,1,2,0
"6",32,0,0,17,2,0,24,3,0,3,1,0
"7",16,2,0,23,2,0,16,6,0,3,1,0
"8",42,2,0,35,1,0,10,4,0,3,1,0
"9",20,2,0,18,2,0,15,1,0,3,1,0
"10",29,8,0,19,4,0,17,5,0,3,0,0
"11",45,12,0,31,8,0,34,12,0,1,2,0
"12",20,3,0,18,3,0,9,1,0,3,1,0
"13",32,1,0,13,0,0,7,3,0,4,0,0
"14",29,7,0,27,3,0,21,5,0,3,1,0
"15",26,0,0,26,1,0,34,0,0,4,0,0
"16",34,0,0,25,2,0,25,1,0,1,2,0
"17",19,5,0,11,3,0,6,3,0,2,2,0
"18",35,2,0,36,4,0,44,6,0,3,0,0
"19",34,7,0,15,8,0,21,3,0,3,1,0
"20",36,7,0,39,5,0,31,7,0,2,1,0
"21",20,20,0,20,18,0,12,22,0,3,0,0
"22",37,5,0,27,4,0,23,1,0,3,1,0
"23",35,3,0,24,3,0,33,2,0,3,0,0
"24",23,8,0,22,8,0,18,7,0,1,3,0
"25",22,18,0,30,12,0,18,9,0,3,1,0
"26",28,9,0,33,6,0,27,5,0,3,1,0
"27",33,4,0,23,5,0,16,5,0,3,1,0
"28",28,11,0,11,17,0,12,12,0,1,2,0
"29",26,4,0,25,3,0,26,2,0,3,0,0
"30",24,9,0,20,6,0,26,8,0,2,1,0
"31",12,7,0,20,3,0,11,4,0,3,1,0
"32",27,9,0,23,7,0,22,3,0,4,0,0
"33",32,1,0,29,1,0,22,0,0,4,0,0
"34",31,4,0,30,5,0,28,4,0,3,1,0
"35",36,1,0,37,1,0,37,1,0,3,0,0
"36",13,3,0,13,5,0,13,11,0,1,2,0
"37",34,4,0,27,7,0,23,6,0,4,0,0
"38",14,9,0,10,6,0,13,9,0,3,1,0
"39",7,9,0,15,1,0,10,1,0,4,0,0
"40",34,13,0,22,9,0,22,13,0,3,1,0
"41",13,9,0,22,20,0,16,22,0,3,1,0
"42",7,0,0,4,2,0,6,2,0,4,0,0
"43",47,4,0,27,3,0,43,6,0,3,1,0
"44",27,10,0,21,9,0,18,7,0,0,4,0
"45",30,3,0,25,0,0,31,2,0,4,0,0
"46",24,5,0,23,1,0,26,5,0,2,1,0
"47",30,5,0,19,4,0,27,4,0,3,0,0
"48",17,5,0,12,1,0,18,0,0,3,0,0
"49",40,11,0,25,9,0,19,5,0,3,1,0
"50",1,2,0,3,1,0,3,3,0,2,2,0
"51",30,15,0,34,10,0,16,6,0,3,1,0
"52",18,0,0,18,1,0,20,0,0,2,1,0
"53",34,3,0,20,2,0,19,3,0,2,0,0
"54",21,5,0,10,4,0,18,5,0,1,1,0
"55",50,2,0,35,1,0,38,2,0,4,0,0
"56",8,3,0,10,2,0,7,0,0,2,2,0
"57",25,12,0,26,15,0,18,17,0,3,1,0
"58",13,12,0,26,16,0,28,16,0,2,2,0
"59",35,1,0,26,2,0,29,1,0,4,0,0
"60",33,1,0,19,3,0,7,3,0,3,1,0
"61",23,8,0,27,13,0,19,6,0,2,2,0
"62",12,1,0,9,0,0,5,5,0,3,1,0
"63",17,13,0,28,18,0,14,18,0,2,2,0
"64",24,6,0,17,11,0,21,7,0,2,2,0
"65",31,14,0,27,8,0,30,12,0,2,1,0
"66",31,0,0,27,0,0,22,2,0,4,0,0
"67",33,2,0,20,2,0,14,7,0,3,1,0
"68",31,4,0,33,6,0,36,6,0,3,1,0
