,Initials,MeanRT_NoPrime,MeanRT_Identical,MeanRT_Related,MeanRT_Unrelated
1,AA,7995.43375,7993.000938,7996.578333,7996.473
2,AC,2175.67,2171.57381,3692.290417,2872.692879
3,AF,3189.343333,2802.490469,2348.66431,2158.877308
4,AS,8000.118333,8001.886818,7999.814,8086.559211
5,AT,7999.28875,7981.8526,8000.730962,7999.469286
6,AW,1774.0375,1850.553889,1650.586667,2212.029
7,BR,993.27625,1365.037973,1601.317262,1388.384219
8,CF,2053.54125,3210.15,3068.175,3168.235
9,CK,4309.828333,4549.25,2860.148,3151.347105
10,CY,1810.665,3328.668542,3130.419038,3280.29
11,EC,1690.571667,2252.208125,2921.04625,2143.18
12,EF2,1612.9,1915.463594,1803.082069,2054.315833
13,EM,1365.47125,1499.370968,1974.39,1538.278043
14,EW,1407.8775,1678.193966,1955.836912,1910.466786
15,FZ,2272.461667,2570.87,3636.572143,4875.29
16,GA2,2375.468333,1698.850833,1793.698333,2340.95375
17,GL,3041.8425,1726.573977,1889.221757,1733.198382
18,GM,2200.35125,2041.659545,1964.662632,1713.3175
19,GX,7999.005,7949.236212,8001.0928,7999.305
20,HB,2052.8175,2578.988226,1718.759643,1560.259487
21,IG,1500.89875,1961.325,2520.426563,2535.983864
22,JA,3818.685,1669.101061,1833.278519,2042.616667
23,JC2,1704.626667,2644.580455,2179.672632,2247.858
24,JL3,1278.53875,1525.366429,1944.208,2092.714516
25,JM,3622.026667,1585.708519,1224.773095,1793.140625
26,JR,1300,1901.029412,2334.304348,2426.8
27,JS,1097.8225,1643.185366,1354.118056,1437.345556
28,KI,2799.6375,4195.157083,4122.506053,4483.607292
29,KS2,1552.2975,2156.370897,1967.219324,2042.699324
30,KS3,1008.7325,1545.059783,1446.165385,1802.545625
31,LL,2278.105,2498.648333,2040.520909,1455.924091
32,LW,2083.3425,1674.512222,2593.451667,1825.557826
33,MB,1879.89625,1908.158111,2179.468333,2026.50275
34,MS,4676.458333,4175.074878,4578.868857,5402.321548
35,NE,7997.41375,8000.418077,7997.420769,7999.785357
36,OT,3352.89875,5544.375,4995.741667,4350.435556
37,PC,4621.195,2635.422,2709.290833,3000.04
38,PN,1914.71625,1777.597917,1720.592679,2037.680909
39,RH,2079.605,2960.864615,4237.939118,3000.190303
40,RK,2844.90625,2726.401,3310.995484,2897.757419
41,RP,3109.34,1761.7955,2007.160625,1983.999697
42,RR,2580.3,2969.246875,2506.0175,3148.359722
43,SA,1824.1975,1661.467881,2165.417927,1944.025
44,SC,1121.875,1132.071,1397.825952,1345.2554
45,SH,7994.203333,7994.404375,7996.94587,7994.380161
46,SS,2237.04875,2350.948,2044.601346,2556.823704
47,TK,2029.82375,1215.217391,1285.766563,1290.521029
48,WW,5833.196667,4169.990862,3451.713125,2852.871087
49,YR,8001.7925,8005.513023,8003.777381,8005.790179
50,ZI,1588.625,2331.625208,1892.2612,1931.996724
,,3121.043492,3149.730335,3200.990726,3202.769034
