,Initials,MeanRT_NoPrime,MeanRT_Identical,MeanRT_Related,MeanRT_Unrelated
1,AA,2702.75625,3420.619571,2967.126351,3253.778452
2,AB3,2059.16,1955.235455,1669.366053,2733.729118
3,AD3,1611.41625,2420.43875,1890.22,2518.386852
4,AE,2544.141667,2790.942432,2733.8616,2973.302083
5,AG2,2084.2275,1625.074286,1840.4375,1397.084706
6,AK,2354.35375,3031.190185,2798.229118,2810.793906
7,AL2,1941.74125,2892.659714,2478.508871,2967.911333
8,AR2,2720.125,2770.8925,3138.32925,2913.821875
9,AS,2275.745,1953.019355,2162.132121,2300.566098
10,AS2,2416.326667,2034.805833,3040.237143,2758.653929
11,AS3,1820.33125,2286.301429,2694.358667,2020.969091
12,AY,4635.26375,3540.677167,3420.441296,3169.652714
13,BH,2140.24,2122.190882,2481.83,2329.804333
14,BL,1149.0225,1755.874737,1564.866875,2172.035909
15,BT,2353.245,2056.000455,2219.993529,1967.286818
16,CB,2022.7525,1763.9225,3056.001786,2298.4005
17,CF,1572.99,1664.991875,2254.693182,1847.730429
18,EC,2594.74375,2864.34037,2370.357679,2307.554
19,EC3,5438.17125,3761.515833,5692.805833,3566.730909
20,EF,2238.44,1724.898889,2232.422778,1954.3575
21,EG2,8000.11,8000.378333,7999.622727,8000.752222
22,EG3,3017.3875,3353.100625,2644.561212,3087.903485
23,EH,1691.1625,1009.5625,4259.505,1510.338571
24,EK,1762.773333,2756.503966,2818.423421,3316.290172
25,EW,8001.4325,7992.280294,8003.1275,7997.609615
26,GA,2705.06,2102.332,2465.819464,2001.38569
27,GM,5146.75125,2822.2425,2804.005,2855.211622
28,HH,1191.77625,1785.642174,1690.882321,1594.207692
29,HK,2099.828333,1972.128235,2243.382083,2677.551111
30,HM,2013.33375,2187.943214,2154.335952,2241.363485
31,HP,1962.08625,2267.889844,1951.336667,1877.255441
32,JC,1441.48,1525.480435,1230.388235,995.893
33,JG,7996.31375,8003.2575,12710.85192,8529.420938
34,JN,2301.02875,1987.852407,1739.319423,2099.567
35,JN2,1597.23875,1860.907647,2567.835833,2554.314
36,JX,3002.9675,3133.307,3059.525217,2485.146957
37,KA,3241.44,1570.332073,1384.805,1385.216
38,KB2,8000.2475,8000.226724,8005.935543,8000.248111
39,KS,2270.476667,2573.749219,2790.196892,2358.665814
40,KW,2358.04125,2364.193704,2538.13,2472.841944
41,KZ,1548.085,2088.662121,2032.786892,2101.211111
42,LG,1191,1805.333333,2678.40625,1650.827586
43,LH,1990.18,2308.817,2727.475435,2645.754324
44,LJ,1720.39,3004.1465,2957.823333,3357.973462
45,LW,1128.720001,1248.7525,1826,1220.268437
46,MG,8000.265,8028.266667,7999.896,7699.420263
47,MR,1503.6225,2124.418,2033.65,1925.639412
48,NG,1200.50375,1734.831667,1559.728889,1653.7516
49,NJ,2406.2775,2572.987429,2675.352969,2545.561579
50,OC,2444.97375,2753.191364,2642.61,3193.635652
51,RA,2375.62125,2369.616471,3003.313056,3022.678214
52,RF,2024.82625,2376.134687,2901.950167,2497.835429
53,SC,3099.385,3139.1695,2817.956111,3325.258333
54,SH2,2792.73375,2033.395682,1813.232647,1731.625541
55,TP,1900.67,2405.0205,2093.903148,2325.077931
,,2796.425144,2830.866291,3082.405344,2894.550042
