,MeanRT_NoPrime,MeanRT_Identical,MeanRT_Related,MeanRT_Unrelated,MeanRT_Total,StDevRT_Total,MeanZ,MeanZ_NP,MeanZ_Identical,MeanZ_Related,MeanZ_Unrelated
1,7995.43375,7993.000938,7996.578333,7996.473,7995.555317,7.622356595,9.47E-15,-0.015948803,-0.335116828,0.134212544,0.120393546
2,2175.67,2171.57381,3692.290417,2872.692879,2899.019085,1882.497022,-2.47E-17,-0.38424979,-0.386425725,0.42139314,-0.013984727
3,3189.343333,2802.490469,2335.352667,2158.877308,2477.352912,2091.534698,9.24E-18,0.340415305,0.155454058,-0.067892847,-0.15226886
4,8000.118333,8001.886818,7999.814,8086.559211,8031.196852,230.3725055,1.39E-15,-0.134905502,-0.127228871,-0.136226551,0.240316693
5,7999.28875,7981.8526,8000.730962,7999.469286,7991.610463,88.32582086,3.81E-15,0.086931397,-0.110475769,0.103259709,0.088975372
6,1774.0375,1850.553889,1650.586667,2212.029,1893.478095,782.2718189,-4.65E-18,-0.152684262,-0.054871217,-0.310494924,0.407212553
7,993.27625,1365.037973,1601.317262,1388.384219,1444.896783,1024.78109,-6.51E-17,-0.440699518,-0.077927677,0.152637945,-0.055145986
8,2053.54125,3210.15,3068.175,3168.235,3060.666053,1730.610138,-1.07E-16,-0.581947823,0.086376443,0.004338902,0.062156661
9,4309.828333,4549.25,2860.148,3151.347105,3629.053333,1839.303542,1.05E-17,0.370126509,0.500296251,-0.418041566,-0.259721257
10,1810.665,3328.668542,3130.419038,3280.29,3179.664155,1984.312778,8.43E-17,-0.689910971,0.075091179,-0.024817215,0.050710677
11,1690.571667,2252.208125,2921.04625,2143.18,2411.325303,2042.144554,-1.62E-17,-0.352939578,-0.077916707,0.249600816,-0.131305741
12,1612.9,1915.463594,1803.082069,2054.315833,1902.689831,827.9213362,-6.83E-17,-0.350020973,0.015428715,-0.12031066,0.18314059
13,1365.47125,1499.370968,1974.39,1538.278043,1654.486,1655.125993,-4.93E-17,-0.174617975,-0.09371796,0.193280754,-0.070210943
14,1407.8775,1678.193966,1955.836912,1910.466786,1834.638526,1409.16896,-2.22E-17,-0.302845889,-0.111019023,0.086006993,0.053810623
15,2272.461667,2570.87,3636.572143,4875.29,3499.244706,2065.309403,-7.27E-17,-0.593994797,-0.449508778,0.066492428,0.666265932
