,Initials,Total_NoPrime,Total_Identical,Total_Related,Total_Unrelated,Correct_NoPrime,Correct_Identical,Correct_Related,Correct_Unrelated,Proportion_NoPrime,Proportion_Identical,Proportion_Related,Proportion_Unrelated,Proportion_Recognized_Threshold
1,5ad63c167f70c10001904bc5,4,49,50,62,4,35,35,37,1,0.714285714,0.7,0.596774194,1
2,5d1aab1fb8fd6c001834e939,4,51,43,53,4,46,21,32,1,0.901960784,0.488372093,0.603773585,0.95
3,5e38b883793a080e2aa7adf8,4,43,54,47,4,43,52,45,1,1,0.962962963,0.957446809,0.625
4,5ecc6b3407b7e284f637a649,4,55,53,56,4,36,28,25,1,0.654545455,0.528301887,0.446428571,0.85
5,5eefba8d074e4c26e6c730b9,4,49,53,56,4,33,32,28,1,0.673469388,0.603773585,0.5,0.65
6,5f5b64c313f9ca2931cf9917,4,45,36,52,4,44,34,49,1,0.977777778,0.944444444,0.942307692,0.675
7,5f80de286ae5b21801a82f30,4,47,39,55,4,43,35,43,1,0.914893617,0.897435897,0.781818182,0.8
8,5fb65456d2527632686468a5,4,47,60,57,4,27,22,24,1,0.574468085,0.366666667,0.421052632,0.775
9,5fca459b64fc2d5d9db11604,4,47,49,57,4,20,24,30,1,0.425531915,0.489795918,0.526315789,0.85
10,60185fd08459210c3da96976,4,52,53,59,4,22,20,13,1,0.423076923,0.377358491,0.220338983,0.825
11,603a66ce28bb606433cb9c91,4,47,45,51,4,38,35,42,1,0.808510638,0.777777778,0.823529412,0.875
12,60411c26d1d9a003c6ea4809,4,50,50,37,4,49,48,37,1,0.98,0.96,1,0.975
13,607da39df127ab6004a8cd10,4,55,51,56,4,29,21,15,1,0.527272727,0.411764706,0.267857143,0.35
14,609cf2d70b8cb2427c16f033,4,54,52,57,4,27,20,20,1,0.5,0.384615385,0.350877193,0.925
15,60ae6e0771c7c33e58e5f012,4,49,58,55,4,48,46,32,1,0.979591837,0.793103448,0.581818182,0.95
16,60b54b4f1c445395a93ee622,4,44,49,51,3,36,40,42,0.75,0.818181818,0.816326531,0.823529412,0.05
17,60b64f91aa927a88d3b860e6,4,60,51,51,4,56,40,37,1,0.933333333,0.784313725,0.725490196,0.9
18,60b69fcdea8cc6cc3672f729,4,53,58,53,4,41,9,12,1,0.773584906,0.155172414,0.226415094,0.75
19,60b930daf9b9cf2ec78cbc64,4,49,53,62,4,33,19,18,1,0.673469388,0.358490566,0.290322581,0.875
20,60bbcb77f4ece1a3142b98c1,4,59,50,55,4,48,29,25,1,0.813559322,0.58,0.454545455,0.875
21,60bbdd269e0a53d9fa207c54,4,54,53,46,4,38,33,24,1,0.703703704,0.622641509,0.52173913,0.9
22,60bbf45003c586668c7defb8,4,68,42,54,4,27,17,15,1,0.397058824,0.404761905,0.277777778,0.875
23,60bc0c6013b4082ed94430d7,4,49,57,58,4,27,27,17,1,0.551020408,0.473684211,0.293103448,1
,,4,51.13043478,50.39130435,53.91304348,3.956521739,36.7826087,29.86956522,28.7826087,0.989130435,0.726925938,0.603554962,0.549272237,0.795652174
