"","Recognized_Identical","Unrecognized_Identical","Recognized_Related","Unrecognized_Related","Recognized_Unrelated","Unrecognized_Unrelated"
"1",32,2,36,1,39,0
"2",17,5,13,6,11,6
"3",19,2,23,4,23,2
"4",31,5,14,5,29,6
"5",8,3,12,0,11,1
"6",23,3,28,5,26,4
"7",31,4,29,2,27,3
"8",12,2,19,1,22,1
"9",23,7,31,1,35,5
"10",9,1,7,6,9,4
"11",33,2,24,5,20,2
"12",25,0,24,0,24,0
"13",14,3,18,1,13,2
"14",14,5,13,3,17,5
"15",6,5,12,5,4,4
"16",12,0,11,2,8,2
"17",19,4,17,3,31,4
"18",25,1,22,6,25,4
"19",9,9,10,8,3,8
"20",15,3,8,0,14,0
"21",6,3,8,2,6,3
"22",31,0,31,1,31,2
"23",1,1,2,0,2,4
"24",15,8,7,6,11,8
"25",14,1,14,0,12,1
"26",14,11,26,2,21,8
"27",27,2,47,4,35,1
"28",18,5,25,2,10,2
"29",15,2,9,2,7,2
"30",24,4,18,3,32,1
"31",22,5,21,5,29,5
"32",17,6,12,3,12,3
"33",10,1,10,3,11,4
"34",17,8,20,5,24,6
"35",13,3,6,4,17,3
"36",15,5,20,3,18,5
"37",18,15,17,12,19,15
"38",14,14,22,24,23,21
"39",27,5,30,7,28,13
"40",16,10,14,5,11,5
"41",25,8,24,13,22,5
"42",19,9,24,8,19,9
"43",38,2,20,0,36,1
"44",10,9,7,5,10,3
"45",16,2,9,3,12,4
"46",16,0,9,0,12,0
"47",22,3,10,1,15,2
"48",40,7,22,2,23,2
"49",27,8,19,9,8,10
"50",20,2,18,3,19,3
"51",15,2,14,3,12,1
"52",25,7,19,10,27,8
"53",17,1,13,2,11,0
"54",19,3,13,2,35,1
"55",19,11,20,7,20,9
