"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"YELLOW",3401.2,"Studied",32,1,NA,"3","Identical","TWELVE",NA,NA
"DAGGER",2868.32,"Studied",4,1,NA,NA,NA,NA,NA,"CLOAK"
"TENNIS",5053.61,"Studied",27,3,NA,"3","Identical","PAIN",NA,NA
"BALLET",1582.28,"Studied",28,3,NA,"8","Unrelated","BOARD",NA,NA
"HOME",8001.945,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PEN",7367.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BASKET",1715.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOOR",1883.155,"Studied",39,2,NA,"40","Related","HINGE","DOOR","HINGE"
"WATER",8001.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARKER",5485.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORAL",2967.305,"Studied",4,4,NA,"8","Unrelated","DEATH",NA,NA
"SHARK",1049.68,"Studied",14,4,NA,"2","Unrelated","SHALLOW",NA,NA
"HORSE",1517,"Studied",15,4,NA,"30","Related","TROT","HORSE","TROT"
"AFTER",3133.24,NA,NA,NA,NA,"13","Identical","BEFORE",NA,NA
"THERE",982.58,"Studied",19,4,NA,"12","Related","POST","OFFICE",NA
"WHERE",1217.95,"Studied",26,4,"Identical","11","Identical","WHERE",NA,NA
"HORSE",3919.38,"Studied",15,4,NA,"30","Related","TROT","HORSE","TROT"
"SHOVE",3417.6,"Studied",12,4,"Identical","37","Identical","SHOVE",NA,NA
"UNCLE",1400.805,"Studied",24,4,NA,"21","Unrelated","PIECE",NA,NA
"KIL",3552.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KILL",916.14,"Studied",32,2,"Identical","13","Identical","KILL",NA,NA
"COAT",2517.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHONE",3550.215,"Studied",16,4,NA,NA,NA,NA,NA,NA
"CALL",2650.335,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MINOR",6268.9,"Studied",13,2,"Identical","28","Identical","MINOR",NA,NA
"MAJOR",1316.255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WINDOW",2656.415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONG",8014.09,"Studied",42,1,NA,"8","Related","CLOAK","DAGGER",NA
"LOVE",6134.02,NA,NA,NA,NA,"23","Related","CHORE","WORK",NA
"LENGTH",1416.215,"Studied",37,1,"Identical","40","Identical","LENGTH",NA,NA
"CUE",7702.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLANT",1382.415,"Studied",13,4,NA,"4","Unrelated","BUSH",NA,NA
"GUI",8002.575,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUITAR",1950.515,"Studied",12,1,NA,NA,NA,NA,NA,NA
"STAIR",4802.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHOE",2266.555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SNEAKER",1283.59,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOSE",3399.67,"Studied",26,3,NA,"14","Related","MEDIA","NEWS",NA
"LIAR",2528.475,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KIDNAP",2268.405,"Studied",25,3,NA,"16","Identical","HUNGER",NA,NA
"BLACK",7434.96,"Studied",42,2,NA,"1","firstword","firstword",NA,NA
"LADDER",4368.835,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAMP",6200.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
