"DelayedWord","DelayedRT","Studied","StudyPosition","Block","ReportedPrimeFromDay1","Day1OutputPosition","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1"
"BREAD",6402.865,"Studied",31,2,NA,"10","Unrelated","SMOOTH",NA,NA
"BABY",4150.28,"Studied",3,2,NA,"3","Unrelated","YELLOW",NA,NA
"WOOD",1964.55,"Studied",4,2,"Identical","4","Identical","WOOD",NA,NA
"MONKEY",1933.54,"Studied",10,3,NA,NA,NA,NA,NA,"GORILLA"
"GLASSES",1967.98,"Studied",15,3,NA,"7","Unrelated","SOUTH",NA,NA
"PENCIL",1481.985,"Studied",14,3,NA,"13","Identical","CAKE",NA,NA
"BIKE",1301.24,"Studied",30,2,NA,"9","Related","PATIENT","DOCTOR",NA
"ANNOYING",2550.6,NA,NA,NA,NA,"24","Unrelated","TIGER",NA,NA
"TREE",1615.685,"Studied",5,4,NA,"6","Related","SHOP","STORE",NA
"ROOF",1401.025,"Studied",15,4,NA,"10","Identical","CLEAR",NA,NA
"MUSIC",1154.265,NA,NA,NA,NA,"16","Related","GOWN","DRESS",NA
"BELL",6499.66,"Studied",17,4,NA,"14","Unrelated","MIDDLE",NA,NA
"SING",5786.165,"Studied",18,4,NA,"15","Related","HEATER","WARM",NA
"STREET",1499.9,"Studied",34,4,NA,"35","Unrelated","SLOW",NA,"MAIN"
"DESERT",1449.46,"Studied",2,4,NA,"2","Identical","TAKE",NA,NA
"PROBLEM",1467.935,"Studied",1,4,NA,"3","Unrelated","WINTER",NA,NA
"FOOD",2449.075,"Studied",8,4,NA,"4","Related","MAIN","STREET",NA
"LETTUCE",2199.78,"Studied",20,4,"Identical","18","Identical","LETTUCE",NA,NA
"SHIP",2433.87,"Studied",40,4,NA,"31","Unrelated","STATES",NA,"CAPTAIN"
"WARM",3049.14,"Studied",42,4,NA,"32","Unrelated","WILD",NA,"HEATER"
"WOOD",7999.985,"Studied",4,2,"Identical","4","Identical","WOOD",NA,NA
"CELL",8000.78,"Studied",2,2,NA,"2","Identical","NIGHTS",NA,NA
"WRITE",8000.67,"Studied",13,2,NA,"22","Unrelated","DAGGER",NA,NA
"CLASS",7999.18,"Studied",14,2,NA,"23","Related","DUMB","STUPID",NA
"EXPLODE",7998.375,"Studied",16,2,NA,"7","Identical","GUILT",NA,NA
"STORE",7999.705,"Studied",31,4,NA,"36","Unrelated","SEEK",NA,"SHOP"
"CHURCH",8002.875,"Studied",32,4,"Identical","24","Identical","CHURCH",NA,NA
"JACKET",7999.96,"Studied",28,4,NA,"22","Related","VEST","JACKET","VEST"
"DRAW",7999.63,"Studied",5,1,"Identical","7","Unrelated","BEHIND",NA,NA
"TRAILER",8001.95,"Studied",6,1,"Identical","28","Identical","RENT",NA,NA
"POTATO",8003.545,"Studied",8,1,NA,"29","Related","PARDON","EXCUSE","GRAVY"
"VOTE",7999.805,"Studied",4,1,NA,"8","Identical","TRAILER",NA,NA
"CHILD",7989.825,"Studied",1,1,NA,"3","Unrelated","WHERE",NA,NA
"DEATH",7998.7,"Studied",2,1,NA,"4","Unrelated","CLOCK",NA,NA
"KNIFE",8001.025,"Studied",3,1,NA,"5","Unrelated","HORSE",NA,NA
"SCISSORS",7999.6,"Studied",12,1,NA,"6","Identical","DRAW",NA,NA
"SHEEP",8000.11,"Studied",20,2,"Identical","8","Identical","SHEEP",NA,NA
"TOOTH",7998.4,"Studied",28,2,NA,"14","Unrelated","FISH",NA,NA
"STEAL",7998.975,"Studied",27,2,NA,"13","Related","THEFT","STEAL","THEFT"
"CLIMB",8001.065,"Studied",38,2,NA,"17","Related","THORN","ROSE",NA
"PROPER",7988.21,"Studied",37,2,NA,"19","Related","PHONY","FAKE",NA
"BEAM",7998.59,NA,NA,NA,"Related","26","Related","GRAFT","SKIN",NA
"BED",8001.355,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLIDE",8002.165,"Studied",32,1,NA,"12","Unrelated","THERE",NA,NA
"FIND",7999.89,"Studied",19,4,NA,"41","Unrelated","FIRST",NA,"SEARCH"
"LOVE",8000.13,"Studied",16,4,NA,"12","Unrelated","HUNGER",NA,NA
"WEDDING",9209.13,NA,NA,NA,NA,"19","Related","VIRUS","SICK",NA
"DRESS",7997.21,"Studied",36,4,NA,"20","Related","SEARCH","FIND","GOWN"
"MAGIC",7999.17,"Studied",4,4,NA,"5","Unrelated","THREAD",NA,NA
"TALK",8000.035,"Studied",14,4,NA,"11","Related","CHALK","BOARD",NA
"VOLCANO",8000.55,"Studied",12,4,NA,"8","Related","GATHER","COLLECT",NA
"PENNY",8001.375,"Studied",5,2,NA,"5","Unrelated","CRACKER",NA,NA
"DOCTOR",7998.52,"Studied",7,2,NA,NA,NA,NA,NA,"PATIENT"
"SMALL",7999.61,"Studied",12,3,"Identical","32","Identical","SMALL",NA,NA
"MAID",8000.735,"Studied",8,3,NA,"8","Unrelated","POUND",NA,NA
"SMART",7998.605,"Studied",19,3,"Identical","16","Identical","SMART",NA,NA
"CASTLE",8000.235,"Studied",18,3,NA,"9","Related","TWICE","ONCE",NA
"ANGRY",7998.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEANS",7988.81,"Studied",4,3,NA,"4","Unrelated","TIGHT",NA,NA
"LIFE",7998.805,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MINIMUM",7999.45,"Studied",6,3,NA,"5","Unrelated","STOMACH",NA,NA
"LARGE",7999.725,"Studied",5,3,NA,"6","Identical","TIRED",NA,NA
"SLEEP",8001.045,"Studied",23,3,"Identical",NA,NA,NA,NA,NA
"CAKE",7999.11,"Studied",30,3,"Identical","19","Identical","WANT",NA,NA
"NINE",8000.005,"Studied",31,3,NA,"21","Unrelated","SHOES",NA,NA
"OVEN",7988.075,"Studied",33,3,NA,"22","Identical","SURE",NA,"TOASTER"
"FRONT",7999.675,"Studied",35,3,"Identical","23","Identical","ALLOW",NA,NA
"BALL",8000.175,NA,NA,NA,"Identical","25","Identical","HELLO",NA,NA
"CONTROL",8002.105,NA,NA,NA,NA,"27","Related","HAUL","CARRY",NA
"BOSS",7999.525,"Studied",38,3,"Identical","26","Related","HERB","SPICE",NA
"FINISH",8002.29,"Studied",34,3,NA,"24","Identical","BALL",NA,NA
"ROSE",7999.56,"Studied",17,2,NA,"20","Related","LEGS","ARMS","THORN"
"SHIRT",7999.13,"Studied",18,2,NA,"21","Unrelated","WEST",NA,NA
"POCKET",8002.195,NA,NA,NA,NA,NA,NA,NA,NA,NA
